Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,呆呆鸟,王蔚澄,王相文,李羿辰,张勤健,,True,11,930,Gold,+(90),+(108),+1(12),+1(193),+(25),,+(34),-1,+1(149),+1(44),+2(76),+(59),+(15)
2,2,中国科学技术大学,丝路市西套村代表队,周翟恩和,洪文杰,郭一航,孙广中,,True,11,1284,Gold,+(59),+2(208),+(12),+1(253),+(107),-2,+1(37),,+1(267),+(116),+(39),+(76),+(6)
3,3,清华大学,Escape,任舍予,郭雨豪,郑玄晔,邬晓钧,,True,11,1306,Gold,+2(76),+(114),+(7),+3(292),+(128),-1,+1(27),-1,+(166),+2(55),+1(51),+(162),+1(22)
4,4,上海交通大学,夏日影,冯启豫,刘家宁,朱泽木,俞勇,,True,10,1052,Gold,+3(217),+(163),+1(15),,+(78),,+(38),,+2(262),+(26),+(46),+(63),+(20)
5,5,北京交通大学,羊羊羊,郭昱哲,夏鹤鸣,斯修远,许华婷,,True,10,1066,Gold,+1(181),+(129),+(20),,+1(135),,+(52),,+2(263),+(71),+(93),+(34),+(5)
6,,清华大学,此地无银三百两,孙梓皓,李春进,华羽帆,邬晓钧,,True,10,1284,Gold,+6(71),+4(179),+(20),-1,+1(131),,+2(64),,+2(244),+(47),+(101),+(116),+(6)
7,6,中南大学,电子界探寻者,江天运,易光廷,周湘予,陈再良,,True,10,1306,Gold,+(190),+1(276),+(14),,+(102),,+(48),,+6(297),+(33),+(72),+(123),+(7)
,,哈尔滨工业大学,w4p3r Black-fan Club,杜沛键,谢书泱,邱思宇,赵文博,,False,10,1513,,+(247),+2(224),+4(36),-1,+(134),-1,+1(38),-1,+1(285),+(70),+1(74),+2(167),+(13)
8,,北京大学,膜拜ljc大队,潘致辰,陈文灏,周俊豪,张勤健,,True,10,1806,Gold,+2(232),+3(297),+(34),+4(196),+2(265),,+2(22),,,+4(92),+2(112),+(146),+(27)
9,7,香港中文大学（深圳）,WTYTO,涂宵箫,王泽诚,杨久知,马晨昊,,True,9,996,Gold,+(206),+2(262),+(14),,+1(138),,+(53),,,+1(63),+(76),+(93),+(7)
10,8,吉林大学,烈冕号,于之航,陈俊甫,王一丁,李强,,True,9,1091,Gold,+2(117),+(229),+2(49),,+(192),,+1(35),,-2,+1(146),+1(72),+(80),+(26)
11,,北京大学,感觉不如黑猿神,吴孟周,曹原,陈胤戬,罗国杰,,True,9,1199,Gold,+(78),+4(286),+1(27),,+(152),,+1(70),,,+(112),+(90),+(250),+(11)
12,9,北京邮电大学,好好想想,司睿洋,尹昱钦,张泽文,徐鹏,,True,9,1214,Gold,+1(254),+1(196),+1(22),-2,+1(278),-1,+(103),-2,-2,+(76),+(43),+(139),+(18)
13,10,上海大学,树上的忍者,陶钧,耿鹏成,松浩然,沈俊,,True,9,1223,Gold,+(188),+3(280),+1(22),,+(239),,+(61),,,+1(91),+2(118),+(50),+1(9)
14,11,南京航空航天大学,错误,胡昊天,赵乐坤,吕俊琪,邹春然,,True,9,1229,Gold,+1(132),+2(242),+2(38),,+(223),,+1(31),,-13,+(106),+2(74),+1(189),+(9)
15,12,浙江大学,雪花倾诉之时,徐敏睿,靳鹏举,朱天煜,王灿,,True,9,1257,Gold,+1(234),+(282),+1(16),,+2(173),-1,+(27),,,+1(75),+(78),+1(243),+(5)
16,13,四川大学,雍正王朝老太医,王鹏超,熊一鸣,邓雍,左劼,,True,9,1272,Gold,+1(152),+3(243),+(41),,+(245),,+(51),,-1,+2(122),+2(82),+(142),+(30)
17,14,西安交通大学,写都写了，交一发吧,贺睿杰,杨一帆,周品良,王龙翔,,True,9,1332,Gold,+(225),+1(254),+(16),,+(296),,+(88),,,+(73),+(141),+(188),+(27)
18,,上海交通大学,奇迹师歌队,楼灏,谭钧豪,徐君翊,俞勇,,True,9,1389,Gold,+2(215),+(295),+1(27),-1,+(262),-1,+(59),-1,-1,+3(124),+(94),+(178),+(11)
19,,香港中文大学（深圳）,通顶雪道,孙悠然,忙秋阳,郭青硕,马晨昊,,True,9,1452,Gold,+5(292),+(272),+(19),,+1(109),,+(33),,-1,+6(134),+1(147),+(172),+(8)
20,15,山东大学,SDU-TCS,王天竹,禚安垣,袁胜利,崔学峰,,True,9,1458,Gold,+2(281),+8(235),+3(22),,+(230),,+(35),,,+1(90),+1(114),+(141),+(8)
21,16,复旦大学,密码八个八,陈禹卓,杜泊谷,曾添琪,孙未未,,True,9,1463,Gold,+1(219),+4(278),+1(19),,+(296),,+(33),,,+(195),+2(143),+(99),+(18)
22,,复旦大学,曼波大战哈姆,罗意明,徐兆恺,陈可汗,孙未未,,True,8,829,Gold,-4,+(254),+(24),,+2(191),,+(50),,,+1(60),+(95),+(87),+(5)
23,17,浙江工业大学,月球猫猫,陈泓睿,陆徐豪,李汶芝,韩姗姗,,True,8,835,Gold,+(118),-8,+(15),,+(229),,+1(42),,-1,+2(76),+2(81),+1(143),+(9)
24,,浙江大学,WF在逃三人团,周转,朱睿哲,李克成,王灿,,True,8,854,Gold,+3(123),-15,+2(67),,+1(154),,+(100),,,+1(120),+(90),+(54),+(3)
25,18,北京航空航天大学,队长要吃三个汉堡,吴昊恒,董雨润,李秉翰,宋友,,True,8,990,Gold,+1(222),,+(27),,+(274),,+(50),,,+2(76),+(86),+1(158),+(14)
26,,清华大学,不洁之人，不得入,谭淇心,周牧岩,王俊凯,邬晓钧,,True,8,997,Gold,-3,+(185),+2(36),,+(136),,+1(23),,,+2(161),+1(213),+(72),+(47)
27,19,南京信息工程大学,叱咤月海鱼鱼猫,潘小康,马天顺,徐凡明,郑关胜,,True,8,1008,Gold,+(231),,+1(20),,+1(278),,+(34),,,+(60),+(82),+2(201),+(19)
28,20,杭州电子科技大学,2024杭电3队,闻人雨泽,傅景康,周靖凯,徐恩友,,True,8,1044,Gold,+(232),+1(269),+1(29),,-1,,+1(51),,,+(79),+(105),+(178),+1(18)
29,,山东大学,_应用随机过程,李玉庭,苏岳,王源鑫,崔学峰,,True,8,1097,Silver,+1(188),+6(288),+(19),,+(73),,+(108),,,+(80),+1(137),-5,+1(20)
30,,四川大学,难题逆转小队,李名骕,杨轶涵,黄云垄,左劼,,True,8,1119,Silver,-4,+(205),+5(76),,+(291),,+(91),,,+1(75),+(106),+(135),+(17)
31,21,中山大学,中山大学_可燃乌龙,何宇扬,罗杰,蔡可忻,林瀚,,True,8,1177,Silver,+3(81),-2,+1(34),,+(253),,+(73),,,+5(260),+(122),+1(143),+(9)
32,,上海交通大学,电光火石的前奏,黄佳瑞,钱智煊,车昕宇,俞勇,,True,8,1262,Silver,+2(274),,+(23),,+1(298),,+1(27),,,+1(93),+2(150),+(244),+(8)
33,22,南京大学,随家仓,樊书岩,邓淇,李承泽,马骏,,True,8,1375,Silver,+1(191),+(235),+2(42),,+1(276),,+7(127),,,+2(108),+(83),,+(49)
