Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,赤橙黄绿蓝紫,蒋凌宇,钱易,,,,True,12,1059,Gold,+1(32),+(53),+(238),+(89),+(75),+1(163),+2(25),+(203),+(18),+(35),+(45),+(3),-5
,,友情参赛,谁都没有想到被我们寄予厚望的…,杜瑜皓,彭思进,罗恺,,,False,11,1034,,+(12),+1(38),+(229),+(191),+(47),+2(159),+(44),-1,+1(70),+(53),+1(87),+(4),
2,2,清华大学,Escape,任舍予,郭雨豪,郑玄晔,,,True,11,1184,Gold,+(27),+(69),+3(233),+(141),+2(120),+(272),+(20),-3,+(51),+(18),+1(109),+(4),
3,,清华大学,报名晚了,董亦骐,钟自厚,崔隽章,,,True,11,1543,Gold,+2(56),+(69),+2(293),+(137),+6(166),+4(234),+(8),-1,+(37),+1(84),+2(116),+(3),
4,,北京大学,小杨树,杨欣烨,疏彦凯,肖千与,,,True,10,1294,Gold,+2(61),+(91),,+1(216),+2(221),+1(275),+(28),,+1(41),+(68),+(144),+(9),
5,,清华大学,Make 519 great again,冯政玮,肖子尧,吴畅,,,True,10,1315,Gold,+3(31),+(118),-3,+1(131),+4(146),+1(256),+1(18),,+1(43),+1(58),+1(217),+1(17),
6,3,浙江大学,WF 在逃三人团,李克成,周转,朱睿哲,,,True,10,1344,Gold,+(40),+1(66),,+1(264),+3(109),+(289),+(34),,+1(90),+(74),+(248),+(10),
7,4,中山大学,中山大学_没有想法,陈景泰,吴永聪,薛炜鹏,,,True,9,747,Gold,+(23),+(98),-1,+(151),+(82),,+1(15),,+(36),+(49),+3(207),+(6),
8,5,南方科技大学,南风点点,林政宇,薛哲,曾子华,,,True,9,926,Gold,+1(35),+(85),,+(234),+(138),,+(15),,+1(57),+(53),+2(218),+(11),
9,6,复旦大学,密码八个八,陈禹卓,杜泊谷,曾添琪,,,True,9,961,Gold,+(24),+(89),,+2(285),+1(149),-2,+(47),,+(35),+(55),+(202),+(15),
10,7,东北大学,东北大学_出毛！,苏焜,仝家驹,周尧,,,True,9,970,Gold,+1(53),+(80),,+1(241),+(104),-5,+2(40),,+(68),+2(32),+3(156),+(16),
11,8,南京大学,优质解答：我不知道,陈弘毅,林荣恩,郑欣,,,True,9,972,Gold,+(29),+(95),,+1(282),+1(143),,+(13),,+1(71),+1(58),+(171),+1(10),
12,9,中国科学技术大学,Ben神，启动,陈聆祎,陈骆鑫,樊澄宇,,,True,9,1017,Gold,+(57),+(103),,+1(285),+(187),-8,+(61),,+1(87),+1(27),+(144),+(6),
13,10,南京航空航天大学,错误,吕俊琪,赵乐坤,胡昊天,,,True,9,1020,Gold,+(46),+(145),,+3(258),+(214),-1,+1(36),,+(67),+(55),+(114),+(5),
14,,北京大学,饿鳄鱼,陈易涵,张乐天,程伟伦,,,True,9,1078,Gold,+3(47),+(95),,+2(231),+(210),-1,+(59),,+(70),+(104),+(155),+(7),
15,,南京大学,食堂难民走线和园卖花,杨宇轩,陈思睿,冯烨聪,,,True,9,1161,Gold,+(22),+(160),,+1(264),+3(190),,+(63),,+(46),+1(76),+(205),+1(15),
16,11,香港中文大学（深圳）,通顶雪道,忙秋阳,郭青硕,孙悠然,,,True,9,1202,Gold,+1(38),+(94),,-5,+4(147),+8(267),+1(56),,+(49),+(67),+1(179),+(5),
17,12,杭州电子科技大学,杭电3队,闻人雨泽,周靖凯,傅景康,,,True,9,1216,Gold,+(28),+(102),,+1(299),+2(231),,+(32),,+(49),+1(68),+2(280),+(7),
18,,北京大学,去年看错题了。,郑皓元,闫昕,汪之茗,,,True,9,1281,Gold,+3(50),+(141),,+3(249),+2(157),,+(17),,+2(41),+(58),+2(276),+2(12),
19,,南京大学,智慧之树,金昕炜,陈新,李睿星,,,True,9,1305,Gold,+1(30),+(105),,+4(243),+7(280),,+(25),,+2(95),+2(58),+1(122),+(7),
20,,复旦大学,学海无涯，回头是岸,崔博钧,阚子淳,莫骐彰,,,True,9,1311,Gold,+1(66),+(146),,+3(136),+(212),,+(39),,+2(198),+3(110),+1(196),+(8),
21,,浙江大学,托腮,陈君林,王子尧,黄旭彬,,,True,9,1312,Gold,+(37),+4(231),,+1(288),+(240),,+(50),,+1(85),+(97),+(145),+(19),
22,13,浙江工业大学,月球猫猫,陈泓睿,陆徐豪,李汶芝,,,True,8,720,Gold,+(26),+1(97),,-2,+3(169),,+2(30),,+(45),+1(59),+(142),+(12),
23,14,哈尔滨工业大学,W4p3r Fan Club,方智鉴,范嘉涵,孔敬德,,,True,8,811,Gold,+(21),+(116),,-2,+(146),,+(36),,+3(84),+1(69),+(252),+(7),
24,,中山大学,中山大学_古希腊掌管罚时的神,雷灏,覃锐麟,刘开予,,,True,8,835,Gold,+1(28),+(130),-3,-3,+1(72),,+2(60),,+2(95),+(100),+(198),+1(12),
25,,南方科技大学,南方科技大学-皮尔森,王紫漩,钟雨薇,项楚涵,,,True,8,1012,Gold,+1(79),+(100),,+6(245),-8,,+(19),,+2(129),+(57),+(194),+(9),
26,,中国科学技术大学,摸鱼之魂终将归来,温家睿,林度,陈凌峰,,,True,8,1041,Gold,+1(66),+(130),,+1(264),+2(225),,+(28),,+(141),+(79),-7,+1(8),
27,15,西安交通大学,宇宙将为你闪烁,王禹皓,石皓文,邓熙健,,,True,8,1047,Gold,+(17),+2(128),,-3,+2(272),,+1(38),,+1(158),+2(75),+1(172),+(7),
28,16,武汉科技大学,RELX悦刻幻影PRO,孙煜恒,朱俊杰,万家梁,,,True,8,1099,Gold,+1(60),+(159),,,+2(273),,+(26),,+(121),+4(88),+(217),+(15),
29,17,北京邮电大学,好好想想,司睿洋,尹昱钦,张泽文,,,True,8,1332,Gold,+(41),+(154),,,+2(229),,+1(62),,+4(222),+3(120),+2(257),+(7),
30,,南京大学,南小鸟,周相羽,贺卓宇,朱家辰,,,True,8,1508,Gold,+1(81),+2(250),,+6(296),+2(204),,+(112),,+3(136),+(139),,+(10),
31,,香港中文大学（深圳）,新建文件夹,莫骄阳,周信言,邓有权,,,True,7,600,Gold,+(28),+(139),,-1,+(199),,+(53),,+1(90),+(66),,+(5),
32,18,上海交通大学,电光火石的前奏,黄佳瑞,钱智煊,车昕宇,,,True,7,674,Silver,+1(37),+(131),,,-4,,+(28),,+1(102),+(73),+(258),+(5),
33,,上海交通大学,复活者联盟,赵有榛,黄烨威,张博钜,,,True,7,692,Silver,+1(93),+(122),,,-4,,+(56),,+1(85),+1(32),+(238),+(6),
34,19,四川大学,难题逆转小队,李名骕,杨轶涵,黄云垄,,,True,7,693,Silver,+1(11),+(103),,,-8,,+2(27),,+2(63),+1(68),+(284),+(17),
35,20,哈尔滨工程大学,我推的七海爆吃0721次罚时因为在原神启动,宿斯玮,黄凯鹏,吴兆昕,,,True,7,701,Silver,+1(32),+1(155),,-2,,,+(41),,+(129),+(63),+(233),+(8),
36,21,华南理工大学,神秘的蛙,涂序有,黄子豪,吴友郅,,,True,7,703,Silver,+1(45),+(120),,-1,+1(284),,+(44),,+(70),+(85),-1,+(15),
37,,上海交通大学,凌晨烈日晖光,柳烨,秦一苇,郝尚诚,,,True,7,708,Silver,+3(74),+(156),,,-8,,+(28),,+1(58),+(92),+(216),+(4),
38,22,华中科技大学,零,刘星佳,黄暄骜,刘铖,,,True,7,747,Silver,+1(80),+(119),,,-10,,+(45),,+1(105),+(70),+2(216),+1(12),
39,,杭州电子科技大学,杭电8队,金佳栋,许钟乐,余邦轩,,,True,7,795,Silver,+(38),+(165),,,+3(290),,+(34),,+1(86),+(94),-2,+(8),
40,,浙江大学,乌拉呀哈 呀哈乌拉,丁思韬,金政羽,余承恩,,,True,7,801,Silver,+1(27),+(155),,+1(278),-5,,+1(55),,+(95),+1(78),,+1(13),
41,23,浙江师范大学,该戒网瘾了,嵇纹垲,陈炯荣,张煜,,,True,7,814,Silver,+1(55),+(166),,,+2(269),,+(37),,+(86),+1(108),-1,+(13),
42,24,福州大学,最佳小丑,林东颖,傅安,江滢怡,,,True,7,830,Silver,+(50),+(171),,-3,+1(240),,+3(122),,+1(95),+(45),,+(7),
43,25,中国人民大学,嘉然今天创什么,李林豇,汪元森,任秦江,,,True,7,830,Silver,+(20),+1(195),,-3,+3(285),,+(26),,+3(91),+(44),,+1(9),
44,,华南理工大学,Fast Fast TLE,吴挺宇,吴尚鸿,甘景贤,,,True,7,835,Silver,+(61),+(175),,,-1,,+1(46),,+1(101),+1(125),+(254),+(13),
45,,杭州电子科技大学,杭电6队,张劭晗,陈煜,阮虹涛,,,True,7,925,Silver,+2(60),+(138),,,-3,,+1(73),,+3(201),+1(77),+1(176),+(40),
46,26,哈尔滨工业大学（深圳）,潜水小怪,孙宇开,羊柯伍,梁彬,,,True,7,931,Silver,+1(48),+1(210),,+1(163),-7,,+(14),,+4(158),+3(132),,+(6),
47,,杭州电子科技大学,杭电9队,冯松权,沈泽楷,沈栩冉,,,True,7,944,Silver,+(31),+(168),,,+3(294),,+2(98),,+1(98),+(123),-1,+(12),
48,,北京邮电大学,网瘾犯了求求你把牌子给我,刘益铭,陈杰祥,谢志宏,,,True,7,946,Silver,+(45),+(168),,-1,-3,,+2(70),,+(189),+2(92),+1(256),+1(6),
,,华为技术有限公司,逆光芭蕾,周湘阳,刘宸睿,陈鑫,,,False,7,957,,+2(55),+1(187),,,-7,,+2(60),,+1(112),+1(95),+1(254),+1(14),
49,27,山东理工大学,清纯白毛小萝莉,王鹤翱,从文杰,孙童乐,,,True,7,980,Silver,+(78),+(191),,,-1,,+(48),,+2(142),+1(107),+3(279),+(15),
50,28,华南农业大学,公司写题跟nm偷情一样,梁嘉俊,陈国豪,何勤政,,,True,7,980,Silver,+1(54),+1(225),,,-1,,+(27),,+3(190),+(95),+(280),+(9),
51,,华中科技大学,队里没人有想法导致的,方昀昊,陈浩天,李海疆,,,True,7,990,Silver,+1(85),+(171),,+4(284),,,+(38),,+(142),+2(120),,+(10),
52,29,浙江理工大学,马拉车算法算车拉马,姚仁杰,卢一鸣,汤丰玮,,,True,7,1010,Silver,+1(72),+1(253),-1,-1,-1,-1,+1(59),-1,+1(143),+(92),+(294),+(17),-1
53,30,哈尔滨工业大学（威海）,帅比队长还在征婚QQ2216541094,解裕懋,李义朋,沈晨阳,,,True,7,1018,Silver,+1(78),+1(116),,+1(275),-10,,+1(54),,+2(146),+2(140),,+2(9),
54,31,北京理工大学,卡批炉批和穹批,梁思源,李昂,郑润哲,,,True,7,1026,Silver,+2(74),+(145),,,,,+1(29),,+2(248),+(69),+5(253),+(8),
55,32,香港理工大学,cd CD,王骏峣,陈俊儒,张昊霖,,,True,7,1253,Silver,+1(84),+3(225),,,-6,,+(50),,+1(108),+4(119),+9(298),+(9),
56,33,昆山杜克大学,明天开始学算法,沈知远,成秉翰,"""Habib Debaya""",,,True,7,1347,Silver,+(50),+2(197),,,,,+1(65),,+6(194),+10(205),+(253),+(3),
