Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,北京大学,赤橙黄绿蓝紫,蒋凌宇,钱易,徐安矣,,,True,11,1221,Gold,+(160),+(75),,+(39),+(23),+(239),+2(82),+(54),+(102),+(6),-12,+6(191),+(90)
2,,北京大学,呆呆鸟,王蔚澄,王相文,李羿辰,,,True,11,1599,Gold,+(180),+(100),+4(272),+(97),+(60),+1(196),+4(187),+1(129),+1(56),+(5),,-13,+1(77)
3,,北京大学,雪月花,施开成,李嘉佑,孙睿泽,,,True,8,962,Gold,-1,+1(61),,+(59),+2(28),,+2(159),+(180),+1(213),+(8),,,+3(74)
4,,北京大学,DINNER123,李可,陈佳梁,王浩清,,,True,8,1047,Gold,,+2(100),,+(54),+(47),,+1(164),+(197),+(221),+(7),,-3,+1(177)
5,2,中山大学,中山大学_破晓之旅,赵肖睿,刘志源,古鸣浩,,,True,8,1076,Gold,-1,+(129),,+(91),+(48),,+2(149),+(250),+(282),+(6),-1,-1,+1(61)
6,3,中南大学,电子界探寻者,江天运,易光廷,周湘予,,,True,8,1130,Gold,,+(177),,+(65),+(43),,+(106),+(246),+1(293),+(8),,,+1(152)
7,4,中国科学技术大学,前社长想公费旅游于是被两位巨佬带飞,孙志浩,阎昶澍,梁嘉文,,,True,8,1203,Gold,,+1(90),,+(48),+(39),,+3(166),+2(208),+3(266),+(7),,,+2(159)
8,5,北京交通大学,羊羊羊,郭昱哲,夏鹤鸣,斯修远,,,True,8,1207,Gold,,+(180),,+(85),+(74),,+1(106),+2(296),+1(221),+(5),,,+1(140)
9,6,上海交通大学,夏日影,冯启豫,刘家宁,朱泽木,,,True,8,1321,Gold,,+2(115),,+(69),+(52),,+8(293),+2(160),+(257),+(6),,,+2(89)
10,7,北京航空航天大学,紫罗兰,王大禹,董和军,蒋槟阳,,,True,8,1564,Gold,,+1(138),,+(241),+(30),,+5(265),+3(204),+1(259),+(8),,,+(219)
11,8,浙江大学,来生,彭博,严子轩,张湫阳,,,True,7,566,Gold,,+1(86),-5,+(62),+(64),,+1(43),-8,+(153),+(6),,,+1(92)
,,深圳北理莫斯科大学,铜牌已达两位数！,王司晨,颜桉,彭宇祺,,,False,7,897,,,+1(130),,+(75),+(55),,+2(152),+1(287),-1,+(4),,,+(114)
12,9,北京理工大学,越野,邹知秋,于瀚文,廖嘉琦,,,True,7,1039,Gold,,-6,,+(70),+1(109),,+4(212),+(276),+(193),+(10),,,+1(49)
13,10,南京大学,手气王定的,张瑞珉,周宇曦,朱羽宽,,,True,7,1044,Gold,,+2(115),,+(79),+(72),,+1(249),-1,+1(154),+(4),,,+3(231)
,,北京理工大学珠海学院,今天是人类真正幸福的光辉历史的转折点,张润泽,赵雨扬,陈诺,,,False,7,1106,,,+2(134),,+(162),+(128),,+4(90),-1,+1(247),+(3),,,+4(122)
14,,浙江大学,普罗旺斯,潘伦可,黄钰,邹宇涵,,,True,7,1112,Gold,,+6(243),,+(82),+(43),,+2(221),,+(198),+(9),,,+1(136)
,,澳门大学,澳门大学_Xiaowei粉丝团,林泽瀚,杨宗翰,李浩龙,,,False,7,1153,,,+4(182),,+(110),+2(38),,+4(141),-1,+(243),+(5),-1,,+1(214)
15,11,厦门大学,闪光春日影,邹品聪,栾英石,陈朱迪,,,True,7,1369,Gold,,+4(295),,+1(96),+1(69),,+7(297),,+(81),+1(20),,,+3(171)
16,12,四川大学,难题逆转小队,李名骕,杨轶涵,黄云垄,,,True,6,663,Gold,,+1(135),,+(83),+(43),,+2(141),,,+(6),,,+1(175)
17,13,华东师范大学,Spa1+6dow Bl4ckfan-club,谢书骁,程籽实,汪鼎尊,,,True,6,670,Gold,,+1(133),,+1(91),+(60),,+(177),-1,-1,+1(9),,,+(140)
18,14,中国人民大学,森林冰火人,任秦江,林志诚,林梓楠,,,True,6,737,Gold,-1,+(126),-1,+(108),+(81),-1,+(213),-1,,+(6),,,+2(163)
19,15,复旦大学,密码八个八,陈禹卓,杜泊谷,曾添琪,,,True,6,786,Gold,,+3(122),,+(78),+(68),,-5,-4,+2(262),+(10),,,+(146)
20,16,电子科技大学,UESTC_在理工学校想邂逅文学学姐搞错了什么,梁育诚,冉泽宇,陈治臻,,,True,6,789,Gold,-1,+(47),-1,+(151),+(106),,+3(266),,,+(7),,,+1(132)
21,17,南开大学,强基计划我爱你,郭军凯,赵思远,车昱辉,,,True,6,815,Gold,,+1(90),,+(64),+(47),,+3(224),-2,,+2(66),,,+1(184)
22,,复旦大学,怎么表达都可以,曲泽阳,房天乐,谢志得,,,True,6,836,Gold,,+1(121),,+(68),+(31),,+3(271),,,+(6),,,+1(239)
,,厦门理工学院,灰名猪猪大队,张子漠,华晓飞,潘耀宇,,,False,6,863,,,+2(155),,+(63),+(44),,+4(252),,-1,+(5),,,+3(164)
