Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L,M
25,,厦门大学,随机增量,杨晟明,季裕杰,戴思杰,林文水,,True,6,960,Gold,,+3(166),,+(184),,,+1(83),,+(244),+(103),,,+1(80)
26,,北京大学,现充队友太多了!,杨卓凡,谈一鸣,彭乙桐,张勤健,,True,6,972,Silver,,+(84),,+4(298),,,+1(55),,+1(96),+2(231),,,+1(28)
27,,中国人民大学,字节无虞,陈礼邦,刘嘉俊,钱泽瑄,汪云海,,True,6,1157,Silver,,+2(124),,+(276),,,+2(80),,+1(281),+(213),,,+1(63)
28,19,重庆大学,三模哈希米,胡远卓,杨展途,葛轩铭,李佳,,True,6,1192,Silver,,+3(137),,+1(294),,,+3(108),,+(195),+(178),,,+3(80)
29,20,哈尔滨工业大学（威海）,为帅气毕业老学长征婚QQ搜“莱芜贝克汉姆”,龙禺辰,吴昊亮,李义朋,董开坤,,True,6,1214,Silver,,+1(97),,+6(295),,,+3(78),,+(248),+(213),,,+1(63)
30,21,南京航空航天大学,空悲切,胡昊天,赵乐坤,匡显然,邹春然,,True,6,1287,Silver,,+(108),,+(275),,,+3(82),,+(205),+3(276),,,+2(181)
31,,南京大学,呢喃得了mvp,王意诚,卢泰烨,荣恒嬉,马骏,,True,5,458,Silver,,+(77),,-4,,,+1(46),,+(101),+(159),,,+(55)
,,香港城市大学,春日影,高义雄,杨潇,胥啸虎,祁影影,,False,5,475,,,+2(29),,+(207),-2,,+(43),,-1,+1(103),,,+1(13)
32,22,哈尔滨工业大学（深圳）,哈气五小时,曹鹏宇,高俊垚,曹锦程,唐琳琳,,True,5,499,Silver,,+(74),,-3,,,+(49),,+(170),+(163),,,+(43)
33,,中国科学技术大学,大吃大喝大队,丁许同,杜明珉,李存淳,周英华,,True,5,550,Silver,,+1(91),,-7,,,+(34),,+(166),+1(132),,,+1(67)
34,23,浙江工业大学,ZJUT0,陈泓睿,冯梓航,陆仙梁,韩姗姗,,True,5,586,Silver,,+3(88),,-7,-15,,+1(76),,+(112),+(179),,,+(51)
35,24,济南大学,花开之夜,肖远志,丁浩宇,程明达,蒋彦,,True,5,599,Silver,,+(46),,,-2,,+(57),,+(266),+(210),,,+(20)
36,25,浙江师范大学,姜还是老的辣知道不,童培峻,许凯胤,刘思源,邱晟,,True,5,624,Silver,,+1(109),,,,,+1(89),,+(201),+(126),,,+(59)
37,,北京航空航天大学,天铸币,龚锦勋,徐宏烯,李博琛,宋友,,True,5,637,Silver,,+1(90),,-3,,,+(68),,+(230),+(173),,,+1(36)
