Rank,School Rank,School,Team Name,Member1,Member2,Member3,Coach,Girl,Official,Solved,Penalty,Medal,A,B,C,D,E,F,G,H,I,J,K,L
1,1,Peking University,Naive Birds,王蔚澄,朱剑枫,李羿辰,Qinjian Zhang,,True,8,894,Gold,,+(47),+(134),+2(281),,+1(122),-27,+(7),+1(82),+2(68),+(33),
2,2,Fudan University,DeepSleep,张圣皓,王瑞藻,朱翔宇,Weiwei Sun,,True,8,932,Gold,,+1(91),+1(185),-6,,+(105),+(235),+(7),+1(142),+1(40),+(47),
3,3,Shanghai Jiao Tong University,Stella Primus,杨崇烨,李俊毅,唐星珣,Yong Yu,,True,8,1348,Gold,,+1(111),+1(285),,,+2(291),+1(252),+(7),+(132),+1(118),+(32),
4,4,Harbin Institute of Technology,CQOI Flames,杜沛键,方智鉴,雷钧森,Wenbo Zhao,,True,7,1082,Gold,,+(56),,,,+6(219),+2(286),+(4),+(120),+2(125),+(72),
5,5,"The Chinese University of Hong Kong, Shenzhen",Mynoghra,周莫非,陈嘉年,王泽诚,Yixiang Fang,,True,6,679,Gold,,+(104),-5,,,+(284),,+(4),+1(131),+(64),+1(52),
6,6,Xiamen University of Technology,Nice Nature,洪世炜,张子漠,凌恒,Weijiang Zhang,,True,6,764,Gold,,+(231),,,,+4(206),-1,+1(18),+(126),+1(48),+(15),
7,7,香港大学,Hot Kpop Union,李其轩,吴语晨,夏铭飞,Qipeng Kuang,False,True,6,785,Gold,,,,,,,,,,,,
8,8,The University of Hong Kong,Hot Kpop Union,Qixuan Li,Yuchen Wu,Mingfei Xia,Qipeng Kuang,,True,6,785,Gold,,+2(135),+(280),,,-4,,+(11),+(149),+(119),+(51),
9,9,Jilin University,The Defect,于之航,陈鹏旭,徐梓博,Shuai Lyu,,True,6,804,Gold,,+(122),+3(293),,,-4,,+(6),+(145),+2(101),+(37),
10,10,Southern University of Science and Technology,SUSTech-Lyaki,易楚曦,蒲韦坤,陈恺桉,Bo Tang,,True,6,829,Gold,,+(39),,,,-1,+2(283),+(6),+1(150),+3(145),+1(66),
11,11,Xi'an Jiaotong University,Rinsed to Remote,陈儒恒,殷嘉鹏,方亦晨,Longxiang Wang,,True,6,851,Gold,,+(141),-1,-1,,+(192),,+(10),+1(62),+3(269),+1(77),
,,The Chinese University of Hong Kong,Wine-filled Fishball Pie,Hsieh Chong Ho,Wong Chun,Lu Yi Fung,Mak Wai Ho,,False,6,932,,,+1(106),,,,-1,+9(294),+(7),+1(128),+2(77),+1(40),
12,12,香港科技大学广州,"Fear WA, all in implementation",王向前,罗浩,储文皓,Hui Xiong,False,True,5,378,Gold,,,,,,,,,,,,
13,13,The Hong Kong University of Science and Technology (Guangzhou),"Fear WA, all in implementation",Xiangqian Wang,Hao Luo,Wenhao Chu,Hui Xiong,,True,5,378,Gold,,+(89),-4,,,-3,,+1(9),+(152),+1(38),+(50),
14,14,Hangzhou Dianzi University,HDU-T05,杨钧昊,徐中天,蔡睿诚,Chunying Liu,,True,5,475,Gold,,+2(112),,,,-6,,+(5),+1(118),+1(92),+1(48),
15,15,Beihang University,lemonade factory,董和军,王大禹,蒋槟阳,You Song,,True,5,495,Gold,,+2(46),,,,,,+(7),+(141),+2(164),+(57),
16,16,Southeast University,Twilight,杜岩旭,颜熙,周天一,Vincent Chau,,True,5,507,Silver,,+2(89),,,,-5,,+(9),+(161),+1(141),+(47),
17,17,Nanjing University,Anohana,张瑞珉,朱羽宽,陈子达,Jun Ma,,True,5,535,Silver,,+(124),,,,-9,,+(7),+2(174),+3(66),+(64),-1
18,18,Nankai University,The Affiliated High School of Shanxi University,车昱辉,杨澍,王治中,Xiaoguang Liu,,True,5,724,Silver,,+1(136),,,,,,+(15),+(209),+2(219),+1(65),
19,19,Tsinghua University,HFOI2018,区庆亮,贺睿杰,罗以彬,Xiaojun Wu,,True,5,838,Silver,,+1(158),,,,-1,,+(6),+2(190),+2(246),+2(98),
20,20,Zhongshan (Sun Yat-sen) University,SYSU_Fate of Waves,何宇扬,杨立伟,Ruilin Qin,Hai Wan,,True,5,894,Silver,,+(203),,,,-2,,+(11),+3(268),+3(170),+2(82),
21,21,Renmin University of China,1+1,晏艺桓,房子珈,孙奕豪,Yunhai Wang,,True,4,362,Silver,,-5,,,,-2,,+(11),+(167),+2(101),+(43),
22,22,Nanjing University of Aeronautics and Astronautics,blossom of snow,胡昊天,赵乐坤,匡显然,Chunran Zou,,True,4,383,Silver,,-3,,,,-3,,+(5),+1(195),+1(98),+(45),
23,23,Beijing University of Posts and Telecommunications,GNOSIA,谭怡萱,许智彬,邢瑞林,Peng Xu,,True,4,499,Silver,,+2(145),,,,,-1,+(16),,+1(105),+(173),
,,Hong Kong Olympiad in Informatics,HKOI 1,Mak Chun Hin Ivan,Choy Tsz Chai Berton,Lai Hong Tung Honrich,Oa Yang Hau Chung,,False,4,530,,,,,,,-10,,+(10),+(230),+3(117),+(113),
24,24,University of Electronic Science and Technology of China,UESTC_lyc_fan_club,周蛰粼,赵城尧,徐明君,Peng Yang,,True,4,536,Silver,,+(196),,,,-3,,+(8),,+2(222),+(70),
25,25,Tongji University,example pass=AC,郑梓健,张丞玮,邓双南,Chen Ye,,True,4,541,Silver,,+(222),,,,,,+(11),,+1(128),+1(140),
26,26,"Shandong University, Weihai",Wenhua Road East,张智航,童延,陆柯旭,Xiaoming Kong,,True,4,557,Silver,,+(252),,,,,,+(11),,+3(175),+(59),
27,,香港大学,Team name ddl today,杨明天,罗简,刘彦呈,Qipeng Kuang,False,True,4,638,Silver,,,,,,,,,,,,
28,,The University of Hong Kong,Team name ddl today,Mingtian Yang,Jian Luo,Yancheng Liu,Qipeng Kuang,,True,4,638,Silver,,+(181),,,,,,+(6),,+5(254),+(97),
29,27,Xiangtan University,Hongkong Uncle,卓越,李子熙,曾庆鑫,Yong Xie,,True,4,652,Silver,,+4(266),,,,,,+(10),-2,+(106),+2(150),
30,28,Nanjing University of Posts and Telecommunications,manbo and hajimi,胡乐安,王普立,田晓亮,Zhi Chen,,True,4,674,Silver,,+2(274),,,,-5,,+(11),,+3(167),+1(102),
31,29,The Chinese University of Hong Kong,no brain just nom nom nom,Wong Tsz Him,Wong Man Pai Angus,Poonyapat Sriroth,Mak Wai Ho,,True,4,677,Silver,,-5,,,,,,+1(16),+2(296),+3(149),+(96),
32,30,Jinan University,Byd Fan Club,曹哲睿,谢正心,潘城樟,Dehua Zhou,,True,3,223,Silver,,-18,,,,,,+(8),,+1(142),+(53),
33,31,National University of Mongolia,N^3,Dugarjantsan Bilguun,Dalaitseren Ganbold,Bilguun Erkhembayar,Bagabold Gendensuren,,True,3,230,Silver,,,,,,,,+(9),,+(150),+(71),
,,Pui Ching Middle School,gugugaga,NG Hang Chi,WANG Ziyan,TO Chak Seng,LIN Xiulan,,False,3,234,,,-3,,,,-3,,+(9),,+1(59),+(146),
34,32,Southwest University of Science and Technology,two-thirds,刘诗璐,钟妍,柯涵,Miao Chen,,True,3,237,Silver,,-1,,,,,,+(12),,+(152),+(73),
35,33,Huizhou University,Genesis in Hong Kong,冼健民,孙昊,钟志杰,Li Liu,,True,3,256,Silver,,,,,,-1,,+(12),-1,+(127),+(117),
36,34,Jinggangshan University,Phoenix,王琼,杨文源,陈柏伟,Yunlan Tan,,True,3,256,Silver,,-1,,,,,,+(10),,+1(166),+(60),
37,35,"Harbin Institute of Technology, Shenzhen",from here,赵飞羽,陈彦波,蔡易轩,Jie Wen,,True,3,300,Silver,,-4,,,,,,+(15),,+2(90),+1(135),
38,36,Fuzhou University,Russian Roulette,黄佳鹏,肖羽石,张仁杰,Yanggeng Fu,,True,3,317,Silver,,,,,,,,+(11),,+1(194),+(92),
39,37,Southwest Jiaotong University,Explosion!,刘俊豪,Xinke Li,陈义达,Xiuying Yu,,True,3,323,Silver,,-1,,,,,,+(12),,+1(133),+1(138),
,,Hong Kong Olympiad in Informatics,HKOI 2,Xu Adam,Su Yat Long Rayson,Ho Shun Ngai,Oa Yang Hau Chung,,False,3,324,,,-8,,,,,,+(14),,+2(159),+2(71),
40,38,Wuhan University,Thank you Bing Zhang,刘尚源,袁振宇,洪阳,Wenyong Dong,,True,3,337,Silver,,,,,,-1,,+(11),,+(196),+1(110),
41,39,Chengdu University of Information Technology,One pull one hit,季璨,李奕乐,王宇欣,Mingyuan Yuan,,True,3,338,Silver,,,,,,,,+(14),,+(180),+2(104),
42,40,Dongguan University of Technology,Team is Powerful,黄海,林恬烁,林志龙,Chuanxiang Chen,,True,3,349,Silver,,,,,,,,+(9),,+1(129),+1(171),
43,41,Guangzhou University,Hajimi,李轩,周昊焌,杨尚华,Kailun Qiu,,True,3,378,Bronze,,,,,,-4,,+1(11),,+2(187),+(120),
44,42,South China University of Technology,SCUT Chireden,郑理耀,袁昊朗,陈弘毅,Chuhua Xian,,True,3,402,Bronze,,,,,,,,+(12),,+2(213),+(137),
45,,National University of Mongolia,NUM-NTN,Naranbat Munkherdene,Tamir Jamiyangarav,Aldarjaw Naranbaatar,Bagabold Gendensuren,,True,3,404,Bronze,,,,,,,,+1(13),,+1(204),+(147),
46,43,武昌首义学院,GreedyIsTruth,汤龙飞,李明辉,Jingyun Gao,Lan Jin,False,True,3,405,Bronze,,,,,,,,,,,,
47,44,Wuchang Shouyi University,GreedyIsTruth,Longfei Tang,Minghui Li,Jingyun Gao,Lan Jin,,True,3,405,Bronze,,,,,,,,+1(31),,+1(204),+1(110),
48,45,Zhejiang Gongshang University,Rosmontis_Fan,沈士渊,魏嘉豪,徐晨阳,Wenqiang Liu,,True,3,446,Bronze,,,,,,,,+(9),,+2(113),+5(184),
49,46,西南财经大学,May this voyage culminate in the Final,蒋思翔,刘彻,祝亚辉,Feng Zhou,False,True,3,469,Bronze,,,,,,,,,,,,
50,47,SouthWestern University of Finance and Economics,May this voyage culminate in the Final,Sixiang Jiang,Che Liu,Yahui Zhu,Feng Zhou,,True,3,469,Bronze,,,,,,,,+(11),,+5(219),+(139),
,,Hou Kong Middle School,DengDuck Masters Club,TANG Cheng Hou,HUANG Kam Lam,AO Keng Chio,WONG Sichan,,False,3,475,,,-7,,,,,,+1(22),,+2(275),+2(78),
51,48,厦门大学嘉庚学院,Ordinary.exe,孙硕,卓子翔,黄俊华,Yijing Guo,False,True,3,477,Bronze,,,,,,,,,,,,
52,49,Xiamen University Tan Kah Kee College,Ordinary.exe,Shuo Sun,Zixiang Zhuo,Junhua Huang,Yijing Guo,,True,3,477,Bronze,,,,,,,,+(11),,+2(210),+3(156),
53,50,Sichuan Agricultural University,we are iron,江雅奥,李鑫,刁戈,Jiangshu Wei,,True,3,495,Bronze,-1,,,,,,,+1(12),,+5(286),+(77),
54,51,Zhejiang SCI-TECH University,Last Final,陈宏毅,陶稼辉,王舜宇,Hairong Ye,,True,3,512,Bronze,,,,,,,,+(7),,+2(231),+4(154),
55,52,成都锦城学院,The last dance of XiaoMo,程义威,邓力豪,何轩逸,Dan Li,False,True,3,529,Bronze,,,,,,,,,,,,
56,53,Chengdu Jincheng College,The last dance of XiaoMo,Yiwei Cheng,Lihao Deng,Xuanyi He,Dan Li,,True,3,529,Bronze,,-1,,,,,,+(13),-1,+3(269),+2(147),
57,54,Dalian University of Technology,Back Seaing,冯子祥,吴习哲,Fangyu Bu,Bing Liang,,True,3,531,Bronze,,,,,,,,+(11),,+6(253),+3(87),
58,55,Hong Kong University of Science and Technology,HKUST1,Taimas Korganbayev,Mukhammadarif Sakhmoldin,Raiymbek Baishuak,Qifeng Chen,,True,3,538,Bronze,,-9,,,,-1,,+(12),,+3(251),+3(155),
59,56,Chengdu University,nia~nia~nia~ciallo~,陈纪元,张凡盛,黄兵,Ying Qin,,True,3,552,Bronze,,,,,,,,+1(16),,+3(294),+1(142),
60,57,Guangxi University,Harukanaru Gensokyo,张健明,陶康,孙怿翔,Feng Zhan,,True,3,562,Bronze,,,,,,,,+(8),,+3(280),+2(174),
61,58,Hohai University,ln 7/b,陈培印,邵然,谭炜烨,Xuejie Zhang,,True,3,563,Bronze,,-3,,,,,,+(12),,+1(190),+3(281),
62,59,Hong Kong Polytechnic University,Without Sky,孙涵松,孟祥宇,Ziqian Lin,Bo Li,,True,3,588,Bronze,,,,,,,,+1(8),-3,+2(128),+5(292),
63,60,Sichuan University,Wanting to learn Ai,冯朝航,蔡相渔,陈燚,Jie Zuo,,True,3,602,Bronze,,-2,,,,,,+1(12),,+4(231),+2(219),
64,61,Chongqing College of Mobile Communication,Courage,李德立,詹毅涵,Qing'an Lu,Yi Wang,,True,3,602,Bronze,,,,,,,,+(10),,+6(242),+5(130),
65,62,Harbin Engineering University,go valorant esacpe delta dance,赵新凯,孙江吉,闫力仁,Lin Guo,,True,3,610,Bronze,,,,,,,,+2(16),,+3(184),+2(270),
