Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,北京大学,摆烂人,10,1028,+5(106),+1(158),-8,+2(19),+1(128),+1(136),+1(64),+1(36),-,+2(39),+1(209),-,+1(13),37%,Gold,冯施源,彭博,钱易,罗国杰,N,N
2,2,清华大学,一路向北,10,1150,+3(174),+1(173),-,+1(19),+1(177),+2(72),+3(95),+1(128),-,+1(14),+1(192),-,+1(6),33%,Gold,周航锐,唐绍轩,许庭强,邬晓钧,N,N
3,,北京大学,暂时不能给你明确的队名,9,1237,+3(237),+4(82),-,+1(28),+1(111),-5,+2(115),+1(133),-,+2(63),+1(283),-,+2(25),47%,Gold,张文哲,范绪杰,陈潇然,张勤健,N,N
4,,清华大学,循环不止，优化不息,8,893,-1,+1(186),-,+2(18),+1(234),+1(121),+1(90),+1(80),-,+2(52),-1,-,+3(32),33%,Gold,叶昊星,徐哲安,谭淇心,邬晓钧,N,N
5,3,北京交通大学,羊羊羊,8,1109,-,+2(181),-,+2(43),+2(288),+4(239),+2(101),+1(64),-,+1(37),-1,-,+1(16),46%,Gold,夏鹤鸣,斯修远,郭昱哲,"许华婷,黄华",N,N
6,4,东北大学,东北大学_天狐座,8,1166,-1,+3(290),-,+1(9),+1(254),+2(278),+2(127),+1(77),-,+1(33),-,-,+1(18),33%,Gold,徐越昊,苏焜,陈少皇,刘小锋,N,N
7,5,武汉理工大学,深海古代鱼,8,1381,-,-,-,+3(144),+2(224),+1(296),+2(130),+2(103),-,+1(45),+1(258),-,+4(21),50%,Gold,侯哲昊,朱振傲,闫卢昊,赵冬冬,N,N
8,6,中国科学技术大学,丝路市西套村代表队,7,728,-2,-5,-,+2(25),+7(185),-5,+1(53),+1(43),-,+1(23),+1(247),-,+1(12),50%,Gold,周翟恩和,洪文杰,郭一航,李春生,N,N
9,7,北京理工大学,ddl战神,7,731,-11,+3(190),-,+2(40),+2(204),-8,+1(94),+1(68),-,+1(46),-,-,+1(9),36%,Gold,朱子林,林恺,邹知秋,林永钢,N,N
10,8,上海交通大学,逆命,7,786,+1(279),-,-,+1(54),-49,+1(144),+4(142),+1(71),-,+1(28),-,-,+1(8),30%,Gold,张建军,张明驰,杨宗翰,俞勇,N,N
11,9,南方科技大学,南方科技大学-赫尔辛基,7,797,-1,+3(192),-,+1(27),-6,+2(179),+2(126),+1(120),-,+1(37),-,-,+2(16),41%,Gold,何俞均,冯照航,洪朝阳,唐博,N,N
12,10,暨南大学,广州市第六中学一队,7,815,-,+1(227),-,+1(33),-2,+2(179),+1(106),+3(140),-,+1(30),-,-,+2(20),36%,Gold,余欣妍,贾子涵,麦骏,张震,N,N
13,11,电子科技大学,UESTC_会编程到底是什么感觉_jpg,7,892,-,+1(206),-,+1(69),-5,+2(251),+1(108),+3(147),-,+1(34),-,-,+1(17),30%,Gold,李尚融,李林泽,程智涛,汪小平,N,N
14,12,南京大学,优质解答：我不知道,7,986,+1(291),+1(261),-,+1(29),-5,-,+4(164),+2(98),-,+1(40),-,-,+1(23),36%,Gold,林荣恩,郑欣,陈弘毅,马骏,N,N
15,,清华大学,QDEZ214驻清办,6,429,-1,+1(105),-,+1(50),-,-7,+1(81),+1(139),-,+1(39),-,-,+1(15),0%,Gold,张艺缤,迟凯文,韩豫葳,邬晓钧,N,N
16,13,杭州电子科技大学,Slayers Come,6,503,-4,-,-,+1(14),-2,+4(173),+1(59),+2(122),-,+1(35),-,-,+1(20),40%,Gold,尹吴潇,戴志炜,赵政和,刘春英,N,N
17,14,北京航空航天大学,不可计算,6,507,-6,-,-,+1(26),+1(140),-,+3(174),+1(35),-,+2(54),-,-,+1(18),33%,Gold,吴湛宇,权尚浩然,王宇龙,宋友,N,N
18,15,湖南大学,金色传说,6,531,+4(227),-,-,+1(28),-3,-5,+2(69),+1(90),-,+1(14),-,-,+1(23),40%,Gold,廖曙康,朱名扬,苏杰,吴昊,N,N
19,16,南京理工大学,平和猫猫头,6,550,+5(281),-,-,+1(8),-2,-5,+1(78),+1(61),-,+1(27),-,-,+1(15),40%,Gold,何平,金朝哲,陈涣焕,余立功,N,N
20,17,香港城市大学,导师叫我们来打比赛,6,570,+3(215),-2,-,+2(29),-,-,+1(81),+1(123),-,+1(48),-,-,+1(14),33%,Gold,余喆涵,闫方昭,高义雄,邱俊乔,N,N
21,18,中山大学,中山大学_破晓之旅,6,603,-,-8,-,+1(27),-,+3(210),+1(25),+5(141),-,+2(46),-,-,+1(14),53%,Gold,刘志源,古鸣浩,赵肖睿,张子臻,N,N
22,19,浙江工业大学,无翼鸾冕,6,604,-23,-,-,+2(17),+2(224),-,+3(116),+1(73),-,+2(45),-,-,+1(29),45%,Gold,叶瑞阳,罗志炜,陈泓睿,侯向辉,N,N
23,20,香港中文大學,麥當勞5G炸雞,6,617,+3(239),-,-,+1(33),-1,-4,+1(69),+2(95),-,+3(45),-,-,+2(16),50%,Gold,姜宣丞,衛家熙,黃梓謙,麥偉豪,N,N
24,,北京航空航天大学,电脑配置低，一打ICPC就死机,6,637,-5,-,-,+1(69),-,+4(210),+1(98),+1(116),-,+2(51),-,-,+1(13),40%,Gold,唐怡浜,崔绍锞,金炼凯,宋友,N,N
25,,上海交通大学,星尘幻想,6,642,-1,-,-,+1(14),+4(270),-,+2(154),+1(80),-,+1(35),-,-,+1(9),40%,Gold,张景博,胡豪达,范晓泽,余勇,N,N
26,21,武汉大学,背水一战,6,660,-5,-,-,+1(25),+6(259),-,+2(71),+1(99),-,+1(51),-,-,+2(15),53%,Gold,卢凯宾,水熙锐,谷嘉良,董文勇,N,N
27,,中国科学技术大学,cls,6,662,-,-8,-,+1(21),+4(296),-,+1(58),+4(114),-,+1(38),-,-,+1(15),50%,Gold,阎昶澍,陈聆祎,陈骆鑫,李春生,N,N
28,,上海交通大学,涡状银河,6,678,-5,-,-,+2(56),+1(246),-,+4(94),+1(103),-,+1(27),-,-,+3(32),50%,Gold,刘泳霖,戴之恒,李青峰,俞勇,N,N
28,,北京航空航天大学,口嗨战神,6,678,-2,-,-,+1(42),+1(247),-2,+2(90),+2(70),-,+1(62),-,-,+5(47),50%,Gold,王大禹,董和军,蒋槟阳,宋友,N,N
30,22,华中科技大学,原神怎么你了,6,690,-,+1(227),-,+1(44),-1,-,+2(131),+3(146),-,+2(48),-,-,+1(14),40%,Gold,刘东阳,陈开宇,黄浚源,何琨,N,N
31,23,山东大学（威海）,主打一个陪伴,6,691,-1,+1(238),-,+1(78),-,-,+1(155),+1(151),-,+1(51),-,-,+1(18),0%,Gold,严一涵,尚棋浩,张胜熙,张亚涛,N,N
32,24,北京建筑大学,三只袋鼠,6,709,+1(274),-2,-,+1(48),-,-1,+2(95),+3(162),-,+2(39),-,-,+1(11),40%,Gold,姜皓,朱智睿,齐思恺,钱丽萍,N,N
33,25,杭州电子科技大学信息工程学院,清蒸狮子头,6,713,+6(263),-,-,+1(42),-,-,+1(130),+1(83),-,+2(60),-,-,+1(15),50%,Gold,尹凯乐,杨鑫,柳徐吉,李钧,N,N
34,26,吉林大学,烈冕号,6,721,-,-,-,+1(27),-2,+7(254),+1(110),+1(74),-,+4(44),-,-,+2(12),62%,Gold,于之航,王一丁,陈俊甫,李强,N,N
35,27,浙大城市学院,星辰雨,6,738,-,-,-,+1(29),+5(295),-,+1(98),+1(163),-,+1(54),-,-,+1(19),40%,Gold,方韬瑜,楼晨,沈昕哲,柯海丰,N,N
36,28,江西师范大学,Watch A-SOUL and become Au,6,756,+4(284),-1,-1,+1(62),-1,-1,+1(85),+1(119),-1,+3(47),-1,-1,+2(39),50%,Gold,张天福,陈哲,颜玮琦,卢家兴,N,N
37,29,上海财经大学,iDLEM@STER O149,6,783,-,-,-,+1(57),+5(273),-,+2(110),+1(131),-,+2(74),-,-,+1(18),50%,Gold,史靖玮,姜聿时,郭士纳,郭子超,N,N
38,,华中科技大学,小鲤鱼历险记,6,828,-5,-,-,+1(62),+5(292),-2,+1(151),+2(126),-,+1(86),-,-,+1(11),45%,Gold,俞仲遥,喻珈,李根,何琨,N,N
39,,北京大学,暂时不能给你明确的队名！,6,831,-,+4(196),-,+2(78),-1,-,+2(124),+1(253),-,+2(41),-,-,+1(19),50%,Gold,汪之茗,郑皓元,闫昕,张勤健,N,N
40,30,香港科技大学,KUSHT,6,833,-2,-,-,+1(32),-,+1(218),+6(171),+1(114),-,+2(63),-,-,+5(35),62%,Gold,Mukhammadarif Sakhmoldin,Raiymbek Baishuak,Taimas Korganbayev,饶哲凡,N,N
41,,清华大学,顶针的约克5,6,851,-,+6(172),-,+1(26),-,-,+1(154),+1(196),-,+3(76),-,-,+3(47),60%,Gold,肖云帆,荆国浩,顾万钧,邬晓钧,N,N
42,,南京大学,明明是我先来的,6,883,-,-8,-,+1(35),+1(297),-,+2(174),+1(163),-,+1(71),-,-,+4(63),40%,Gold,王崧睿,谭泽晖,黄文睿,马骏,N,N
