Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
150,91,天津大学,玩三角洲玩的,3,317,-,-1,+1(14),-,-,-2,+4(208),-,-,-,+1(35),-,-,50%,Bronze,黄文聪,山武弘,王煜杰,赵满坤,N,N
151,,南京邮电大学,脑袋空空,3,321,-,-1,+1(11),-,-,+3(164),-,-,-,-,+2(86),-,-,50%,Bronze,李永鑫,杨颖翔,白耀文,陈志,N,N
152,92,华东理工大学,珂朵莉最可爱了,3,322,-,-,+1(8),-,-,+2(212),-,-,-,-,+2(62),-,-,40%,Bronze,仇俊杰,余喆浩,徐池,罗勇军,N,N
153,93,长沙理工大学,长理不包吃住,3,323,-,-,+1(6),-,-,-,+2(156),-,-,-,+5(61),-,-,62%,Bronze,林星宇,刘毅,梁爽,邓广慧,N,N
154,,哈尔滨工业大学,睡到自然醒,3,323,-,-,+1(7),-,-,-2,+1(283),-,-1,-,+1(33),-,-,0%,Bronze,任相龙,曾浩锐,徐明拯,赵文博,N,N
155,94,昆山杜克大学,交题就是胜利,3,327,-3,-,+1(6),-,-,+1(246),-,-,-,-,+3(35),-,-,40%,Bronze,成秉翰,袁天骏,胡子,黄名畯,N,N
156,,中国科学技术大学,暂定,3,330,-9,-,+1(5),-,-,+3(261),-,-,-,-,+1(24),-,-,40%,Bronze,郑鹤铭,钱易,向阳天,周英华,N,N
156,,香港科技大学（广州）,Unlimitted Penalty Works,3,330,-1,-1,+1(6),-1,-1,-3,+2(261),-1,-1,-,+1(43),-,-,25%,Bronze,王智渊,陈志屹,黎志凌,熊辉,N,N
158,95,南京农业大学,青山,3,332,-,-,+1(4),-,-,-3,+1(206),-,-,-,+3(82),-,-,40%,Bronze,戴昕宇,邵筠淇,顾慎之,车建华,N,N
159,,浙大城市学院,AC控,3,333,-,-,+1(8),-,-,-4,+3(183),-,-,-,+3(62),-,-,57%,Bronze,吴锦豪,易仁喜,虞子琰,柯海丰,N,N
160,96,长安大学,重生之憧憬成为菜狗,3,344,-1,-1,+1(4),-1,-1,-7,+3(262),-1,-1,-1,+1(38),-1,-1,40%,Bronze,蒙禹龙,冯瀚文,龙炜枫,荆树旭,N,N
161,,北京航空航天大学,13 级大风,3,345,-,-,+1(7),-,-,-9,-,-,+2(199),-,+1(119),-,-,25%,Bronze,王肖鉴,李东骏,敬若曦,宋友,N,N
162,,深圳大学,关注Akie秋绘谢谢喵~,3,346,-,-,+1(6),-,-,+6(199),-,-,-,-,+1(41),-,-,62%,Bronze,王荟斐,邹瀚泓,梁展宇,秦建斌,N,N
163,97,中国民航大学,空指针指向我的心,3,358,-,-,+1(4),-,-,-7,+2(210),-,-,-,+3(84),-,-,50%,Bronze,宋禹,汪林辰,罗凯,范龙飞,N,N
164,,南京信息工程大学,今天也是随机做题的一天,3,362,-,-,+1(7),-,-,-2,+2(245),-,-,-,+1(90),-,-,25%,Bronze,余天成,李鸿硕,刘城垚,郑关胜,N,N
165,98,贵州大学,ITZY,3,371,-,-,+1(7),-,-,+2(217),-,-,-,-,+3(87),-,-2,50%,Bronze,杨尚卫,宋超,覃思越,徐晶,N,N
166,99,广东外语外贸大学,Fe++,3,377,-,-,+1(5),-,-,-2,+3(250),-,-,-,+2(62),-,-,50%,Bronze,罗梓元,甄浩鹏,钟振宇,郑琪,N,N
167,,广东工业大学,循序渐进,3,379,-,-,+1(5),-,-,+4(268),-,-,-,-,+1(46),-,-,50%,Bronze,郭敏哲,邱启涵,钟敦复,孙宣东,N,N
168,100,National University of Mongolia,NUM-NTN,3,381,-,-,+1(5),-,-,+3(177),-,-,-,-,+4(99),-,-,62%,Bronze,Tamir Jamiyangarav,Aldarjaw Naranbaatar,Naranbat Munkherdene,Bagabold Gendensuren,N,N
169,,国防科技大学,暂时不知道叫什么,3,382,-,-,+1(7),-,-,+1(144),-,-,-,-,+5(151),-,-,57%,Bronze,彭诚,邓皓元,杨泽,张元良,N,N
170,101,武汉科技大学,样例过了就AC,3,382,-,-,+1(6),-,-,-2,+3(275),-,-,-,+1(61),-,-,40%,Bronze,施卓凡,荣成,李文卓,李顺新,N,N
171,102,上海电力大学,Drown in the Abyss,3,383,-,-,+1(4),-,-,-,+2(295),-,-,-,+2(44),-,-,40%,Bronze,朱凯年,胡凌,王鼎皓,李博,N,N
172,,哈尔滨工业大学（威海）,教练我不想再wa了,3,384,-,-,+2(8),-,-,+3(272),-,-,-,-,+1(44),-,-,50%,Bronze,杜中坤,庄则栋,郑怡恒,董开坤,N,N
173,103,郑州轻工业大学,失败的Man,3,386,-,-,+1(5),-,-,-5,+3(250),-,-,-,+3(51),-,-,57%,Bronze,吴宇扬,刘家贤,姬孟龙,朱会东,N,N
174,104,东华大学,种树东华传,3,388,-,-,+1(9),-,-,-11,+1(286),-,-,-,+2(73),-,-,25%,Bronze,程政凯,胡俞希,崔麒锐,黄永锋,N,N
175,105,黑龙江大学,云月惊鸿来,3,391,-1,-1,+1(9),-1,-1,+5(172),-1,-1,-1,-1,+4(70),-1,-1,70%,Bronze,陈秋雨,张煦,林君诺,徐辉,N,N
176,,重庆大学,我有异或症,3,396,-,-,+1(5),-,-,-4,+2(276),-,-,-,+2(75),-,-,40%,Bronze,林继清,曹泽阳,李睿朗,李佳,N,N
177,106,东南大学,梦想成为算法少女,3,402,-,-,+1(5),-,-,+5(270),-,-,-,-,+1(47),-,-,57%,Bronze,张闰祺,霍光哲,秦绍康,倪庆剑,N,N
178,,中国民航大学,分母,3,403,-,-,+1(4),-,-,+3(245),-,-,-1,-,+4(54),-,-,62%,Bronze,孟维浩,闵安迪,程徐赞,张智,N,N
179,,中山大学,中山大学-345,3,403,-,-,+1(7),-,-,-8,+2(255),-,-2,-,+3(81),-,-,50%,Bronze,江雨桐,蔡震轩,钟梓俊,张子臻,N,N
180,107,青岛大学,江江无路可退,3,404,-,-2,+1(6),-,-,-2,+2(253),-,-,-,+3(85),-,-,50%,Bronze,王隆江,杨景成,孟祥董,张志梅,N,N
181,,哈尔滨工程大学,队里只有一只二刺猿所以起名还是问fufu吧¿,3,405,-,-4,+2(6),-,-,+3(290),-,-,-,-,+1(49),-,-,50%,Bronze,赵艺凯,李焱冉,万德俊,国林,N,N
182,,吉林大学,夏日空调幻想时刻,3,428,-,-,+2(14),-,-,+4(257),-,-,-,-,+2(57),-,-,62%,Bronze,周浩宇,朱明昊,王福峥,吕帅,N,N
183,108,集美大学,Guess高手,3,429,-,-,+1(7),-,-,+4(237),-,-,-,-,+3(85),-,-,62%,Bronze,林敬炜,王志珑,林卓毅,郑翠玲,N,N
184,,中国科学技术大学,天宁花苑队,3,440,-,-,+1(8),-,-,-,+2(246),-,-,-,+2(146),-,-,40%,Bronze,林一,马晨柯,王程,周英华,N,N
185,,华东师范大学,至此，一锤定音,3,445,-1,-,+2(4),-,-,+6(261),-,-,-,-,+1(60),-,-,66%,Bronze,冯顾炜,冯嘉一,许乐,肖春芸,N,N
186,109,杭州师范大学,哈哈请冷静,3,449,-,-,+1(6),-,-,-,-,-,+4(291),-,+3(52),-,-,62%,Bronze,冷题名,乔迪,黄祺恺,虞剑波,N,N
187,,东南大学,听说只要会二分就来了,3,454,-,+3(277),+1(4),-,-,-,-,-,-,-,+4(73),-,-,62%,Bronze,郑皓文,高雨轩,许晋铜,倪庆剑,N,N
188,,杭州电子科技大学,杭电7队,3,462,-,-,+1(4),-,-,-5,+5(190),-,-,-,+4(128),-,-,70%,Bronze,高书捷,王磊,祁梵森,刘春英,N,N
189,110,安徽农业大学,梅绽金陵夜,3,472,-,-,+1(5),-,-,+5(278),-,-,-,-,+2(89),-,-,62%,Bronze,陈溪,姜乐源,李兹如,涂立静,N,N
190,111,中国传媒大学,风滚金轮草,3,480,-,-,+1(5),-,-,+6(286),-,-,-1,-,+2(69),-,-,66%,Bronze,谢嘉彤,蔡奕麟,龙岑华,黄玮,N,N
191,,西北工业大学,哈基米难买绿勾,3,484,-,-,+1(9),-,-,+2(257),-2,-,-,-,+3(158),-,-,50%,Bronze,程嘉乐,李昊燃,魏子珺,刘君瑞,N,N
192,,南京信息工程大学,那就先ai生成吧,3,492,-,-,+1(6),-,-,+8(288),-,-,-,-,+1(58),-,-,70%,Bronze,李腾飞,汪琪,陆智昊,郑关胜,N,N
193,,杭州师范大学,楚庾风月,3,499,-,-,+1(5),-,-,+7(256),-,-,-,-,+3(78),-,-,72%,Bronze,戴子晟,张俊涛,徐浩哲,虞剑波,N,N
194,112,香港中文大学,塔尖雪王,3,506,-,-,+1(5),-,-,-12,+1(242),-,-,-,+5(179),-,-,57%,Bronze,杨砚泽,夏秀锟,黄卓翘,麥偉豪,N,N
195,,华南农业大学,Ciallo的每一天,3,522,-,-,+1(6),-,-,-2,+4(241),-,-,-,+6(115),-,-,72%,Bronze,许俊泓,赖德文,张嘉鹏,祝胜林,N,N
196,113,西安理工大学,风与天空,3,526,-1,-,+1(4),-1,-,-,+5(292),-,-,-,+3(110),-,-,66%,Bronze,周杨,齐思远,李明泽,蔡欣华,N,N
197,,南开大学,数智省身_北闭小学旅游团,3,528,-,-,+1(7),-,-,-,+6(288),-,-,-,+3(93),-,-,70%,Bronze,章壹程,郑奕杰,朱志彬,刘晓光,N,N
198,114,齐鲁工业大学（山东省科学院）,坐看云起时,3,596,-,-,+1(5),-,-,+10(244),-1,-,-,-,+4(107),-,-,80%,Bronze,高梓源,卢尊宝,郑天烁,鹿文鹏,N,N
199,,杭州师范大学,尽欣杰力还是做不到吗,3,636,-,-,+1(5),-,-,+8(299),-,-,-,-,+5(112),-,-,78%,Bronze,龚俊杰,黄子力,黄欣怡,虞剑波,N,N
200,,华东理工大学,王者,2,36,-,-,+1(5),-,-,-,-,-,-,-,+1(31),-,-,0%,Honorable,赵迪,宋安迪,王渝情,罗勇军,N,N
201,,中南大学,少猪哭泣乐队,2,37,-,-,+1(6),-,-,-,-8,-,-,-,+1(31),-,-,0%,Honorable,吴让尧,裴心童,吴俊杰,陈再良,N,N
202,115,中国计量大学,倒影,2,37,-,-,+1(3),-,-,-13,-,-,-,-,+1(34),-,-,0%,Honorable,方志伟,赵星亮,陈柄宇,陈晓竹,N,N
203,116,中南民族大学,Offer四面八方来,2,40,-,-,+1(4),-,-,-7,-,-,-,-,+1(36),-,-,0%,Honorable,李子安,方可,刘宽,刘卫平,N,N
204,117,东北大学秦皇岛分校,二十四桥明月夜,2,43,-,-,+1(6),-,-,-3,-,-,-,-,+1(37),-,-,0%,Honorable,陈俊安,吴政霖,杨宇昊,王和兴,N,N
205,118,东北农业大学,没时间想队名了!,2,45,-,-,+1(5),-,-,-6,-,-,-,-,+1(40),-,-,0%,Honorable,戚晏嘉,祝宏睿,宋秉轩,李晓明,N,N
206,119,河南农业大学,逮虾户,2,46,-,-,+1(6),-,-,-5,-,-,-,-,+1(40),-,-,0%,Honorable,王浩宇,杨光,张鹏举,尚俊平,N,N
207,120,西南财经大学,狼狼狼,2,46,-,-,+1(4),-,-,-7,-6,-,-,-,+1(42),-,-,0%,Honorable,吴晗,杨龙皓,匡政宇,陈智,N,N
208,,中国石油大学（华东）,UPC2011,2,48,-,-,+1(6),-,-,-3,-,-,-,-,+1(42),-,-,0%,Honorable,赵海威,杨帮兴,郝铭宇,张学辉,N,N
209,121,江西农业大学,最后的轻语,2,50,-,-,+1(6),-,-,-,-,-,-,-,+1(44),-,-,0%,Honorable,罗宇豪,闫卡特,徐浩东,李洪涛,N,N
210,,National University of Mongolia,NUM-NBO,2,51,-,-,+1(5),-,-,-9,-,-,-,-,+1(46),-,-,0%,Honorable,Battsagaan Bat-Yeruult,Nomin-Erdene Nyamdavaa,Odbayar Shinebayar,Bagabold Gendensuren,N,N
211,122,河南师范大学,循环线段树,2,52,-,-,+1(6),-,-,-1,-,-,-,-,+1(46),-,-,0%,Honorable,侯炳旭,吴帅甫,曹继喆,熊青青,N,N
212,123,南京晓庄学院,两个人加起来写不出一个Hello World!,2,55,-,-,+1(10),-,-,-6,-,-,-,-,+1(45),-,-,0%,Honorable,佘亦纲,黄齐,王思博,周恺,N,N
213,,华中科技大学,仿生Huster会梦见电子野猪吗,2,55,-,-9,+1(3),-,-,-2,-,-,-2,-,+1(52),-,-,0%,Honorable,陈子澍,李叙儒,代康琪,何琨,N,N
213,,中国科学院大学,健康的人类要冲出太阳系,2,55,-,-,+1(3),-,-,-8,-,-,-,-,+1(52),-,-,0%,Honorable,王煜阳,郑兴,潘世钊,孙晓明,N,N
215,124,内蒙古大学,铁匠,2,56,-,-,+1(4),-,-,-1,-,-,-2,-,+2(32),-,-,33%,Honorable,张琦,季昊天,许书豪,崔波,N,N
216,125,南京师范大学,不要压力我,2,59,-,-,+2(5),-,-,-14,-,-,-,-,+1(34),-,-,33%,Honorable,马澎飞,宋智增,王子晨,王琼,N,N
217,126,浙江农林大学,ACM菜鸟,2,61,-,-,+1(9),-,-,-8,-,-,-,-,+1(52),-,-,0%,Honorable,吴文超,陈家乐,毛亦秀,王国英,N,N
218,127,中国矿业大学,宇宙兄弟,2,63,-,-2,+1(7),-,-,-,-,-,-,-,+1(56),-,-,0%,Honorable,严川浙,唐嘉诣,周博岩,毕方明,N,N
219,128,上海师范大学,AI可以代替程序员但无法代替家里蹲,2,64,-,-,+1(7),-,-,-1,-,-,-,-,+1(57),-,-,0%,Honorable,危祎,王刚,王祎慜,郭庆林,N,N
220,129,上海科技大学,队名++,2,64,-,-,+1(5),-,-,-1,-,-,-,-,+1(59),-,-,0%,Honorable,伍行,何宗原,陈籽安,屠可伟,N,N
221,,南京信息工程大学,绿色结晶猫,2,68,-2,-,+1(5),-,-,-,-,-,-,-,+2(43),-,-,33%,Honorable,苗睿,王浩,胡永平,郑关胜,N,N
222,130,重庆理工大学,弈,2,70,-,-,+2(6),-,-,-,-,-,-,-,+1(44),-,-,33%,Honorable,许润峰,王俊杰,雷涛,黄继平,N,N
223,,福州大学,请以上念到名字的队伍上台领奖,2,70,-,-,+1(10),-,-,-9,-1,-,-,-,+1(60),-,-,0%,Honorable,连伟成,林嘉祚,游逸晨,傅仰耿,N,N
224,131,宁波财经学院,算法复仇者,2,71,-,-,+2(5),-,-,-5,-,-,-,-,+1(46),-,-,33%,Honorable,李辉鸿,王若飞,徐明炜,蔡尚真,N,N
225,,北京理工大学,不要rua我喵,2,73,-,-,+1(8),-,-,-,-11,-,-,-,+2(45),-,-,33%,Honorable,章一沛,冯靖轩,项俊杰,史继筠,N,N
226,132,广东培正学院,我们要2打3了,2,74,-,-19,+1(21),-,-,-,-,-,-,-,+1(53),-,-,0%,Honorable,沈亦鱼,黄铭锋,潘旗舰,龙君芳,N,N
227,133,浙江万里学院,轮回之糸,2,76,-,-,+1(5),-,-,-4,-4,-,-,-,+1(71),-,-,0%,Honorable,张宇帆,奚舒雯,潘佳聪,柴本成,N,N
228,134,太原理工大学,我有一个绝妙的算法，但空白处太少，我写不下,2,77,-,-,+1(5),-,-,-1,-,-,-,-,+2(52),-,-,33%,Honorable,许星宇,荀思杰,王振琛,林福平,N,N
229,,上海科技大学,还是不知道什么队,2,78,-,-,+1(6),-,-,-4,-,-,-,-,+2(52),-,-,33%,Honorable,田洋,程逸悠,刘志伟,屠可伟,N,N
230,135,香港城市大学（东莞）,让我们说中文！欢迎来到国际大学生程序赛的世界，你准备好成为ICPC传奇了吗？,2,78,-,-,+1(8),-,-,-,-3,-,-,-,+1(70),-,-,0%,Honorable,唐涨停,张佳俊,邓捷,张祎凡,N,N
231,,浙江工商大学,魔法火焰,2,80,-,-,+2(10),-,-,-,-1,-,-,-,+1(50),-,-,33%,Honorable,邬子阳,徐晓轩,詹海吉,胡毓励,N,N
232,136,江苏科技大学,为美好的世界献上AC,2,81,-,-,+1(5),-,-,-7,-,-,-,-,+1(76),-,-,0%,Honorable,韩天睿,梅宇杰,朱永康,景国良,N,N
233,137,湖南大学,繁花,2,82,-,-,+2(6),-,-,-3,-,-,-,-,+2(36),-,-,50%,Honorable,唐怡,文卓,陈辉煜,黄宇,N,N
234,138,福建理工大学,队友南京有牌子，这把稳了,2,82,-,-,+1(5),-,-,-,-,-,-,-,+2(57),-,-,33%,Honorable,汤宏彬,郑少豪,周世杰,许雪林,N,N
235,139,北京林业大学,本质高手,2,83,-,-,+1(11),-,-,-4,-,-,-,-,+2(52),-,-,33%,Honorable,杨尧天,张森柏,管穗京,徐艳艳,N,N
236,140,苏州工学院,邪气大王,2,83,-,-,+1(6),-,-,-3,-,-,-,-,+2(57),-,-,33%,Honorable,谢起,张雨萱,杜鹏飞,聂盼红,N,N
237,141,郑州大学,口圭，又是电波题,2,83,-,-,+1(5),-,-,-5,-9,-,-,-,+1(78),-,-,0%,Honorable,陈年澎,毛睿,姬冠成,吴云鹏,N,N
238,142,山东大学（威海）,ACM笑传之冲冲榜,2,84,-,-,+1(7),-,-,-1,-,-,-,-,+2(57),-,-,33%,Honorable,张民科,秦修元,叶增耀,孔晓明,N,N
239,143,成都信息工程大学,鼠鼠大王,2,85,-,-,+1(8),-,-,-4,-,-,-,-,+2(57),-,-,33%,Honorable,韦彦祖,魏章博,莫政君,黄健,N,N
240,,南开大学,数智省身_没想法就用少女乐队,2,85,-,-,+1(8),-,-,-3,-,-,-,-,+1(77),-,-,0%,Honorable,白景仁,张雪柯,巢恒睿,刘晓光,N,N
241,144,苏州大学,天堂之风,2,89,-,-4,+1(5),-,-,-3,-,-,-,-,+2(64),-,-,33%,Honorable,李守旭,刘雨欣,张博闻,李溍溍,N,N
242,145,山东师范大学,樱高轻音部,2,89,-,-,+1(4),-,-,-,-,-,-,-,+2(65),-,-,33%,Honorable,张兴晨,路宇欣,魏淑英,李圣涛,N,N
243,,大连理工大学,喵嘤逸,2,90,-,-,+1(10),-,-,-22,-,-,-,-,+2(60),-,-,33%,Honorable,吴习哲,刘晨旭,安逸,陆坤,N,N
244,146,西南民族大学,Two to Two,2,90,-,-,+1(7),-,-,-1,-2,-,-,-,+2(63),-,-,33%,Honorable,俞铭泽,韦慧欣,俞欣,王琳,N,N
245,,电子科技大学,UESTC_DebugSimulator,2,91,-,-,+1(7),-,-,-1,-,-,-,-,+2(64),-,-,33%,Honorable,徐立,褚睿极,李文硕,吴磊,N,N
246,,福州大学,麦乐鸡，包AC,2,92,-,-,+1(7),-,-,-1,-,-,-4,-,+2(65),-,-,33%,Honorable,江子健,王郑涵,蔡永康,傅仰耿,N,N
247,147,合肥大学,Amusing Cat,2,93,-,-,+1(6),-,-,-,-,-,-,-,+2(67),-,-,33%,Honorable,吕文杰,杨仕超,许志航,胡春玲,N,N
248,,杭州电子科技大学,杭电16队,2,93,-,-,+1(8),-,-,-,-7,-,-,-,+1(85),-,-,0%,Honorable,张舟,谢之晗,木义豪,刘春英,N,N
249,148,武汉理工大学,中二病也要打acm,2,94,-,-,+1(6),-,-,-6,-,-,-,-,+2(68),-,-,33%,Honorable,史佳尚,余翔宇,陆冠丞,邓佳,N,N
250,149,暨南大学,彼瓦帝·凡·氪拉布,2,96,-,-,+1(4),-,-,-1,-,-,-10,-,+2(72),-,-,33%,Honorable,曹哲睿,谢正心,潘城樟,蔡秋雯,N,N
251,,中国石油大学（华东）,UPC1988,2,97,-,-,+1(12),-,-,-4,-,-,-,-,+2(65),-,-,33%,Honorable,王一同,徐烨,林嘉伟,张学辉,N,N
252,,浙江理工大学,三个臭皮匠只会过样例,2,98,-,-,+1(7),-,-,-3,-,-,-,-,+3(51),-,-,50%,Honorable,张峻松,柴春阳,黄晨康,叶海荣,N,N
253,150,中北大学,文瀛十三不会梦到上床下桌,2,99,-,-,+1(12),-,-,-3,-,-,-,-,+2(67),-,-,33%,Honorable,李兴隆,谭炯豪,陈文博,潘广贞,N,N
254,,浙江师范大学,"主包,主包,这一次能拿牌吗?",2,101,-,-,+1(10),-,-,-7,-,-,-,-,+2(71),-,-,33%,Honorable,汪暄暄,金涵博,陈佳宜,宋炯,N,N
255,151,南京林业大学,多首睦子米,2,101,-,-,+1(5),-,-,-,-,-,-,-,+2(76),-,-,33%,Honorable,苏锦翔,唐俊峰,许子由,刘晓峰,N,N
256,,齐鲁工业大学（山东省科学院）,江盼流星雨,2,103,-,-,+1(9),-,-,-2,-,-,-,-,+3(54),-,-,50%,Honorable,姜润超,高照翔,陈安昕,鹿文鹏,N,N
257,152,北京工业大学,鲁棒司机,2,104,-,-5,+1(5),-,-,-,-,-,-,-,+3(59),-,-,50%,Honorable,陈镇岳,齐相龙,张晋赫,高红雨,N,N
258,153,浙江财经大学,三生万物,2,104,-,-,+1(5),-,-,-,-2,-,-,-,+2(79),-,-,33%,Honorable,赵凌杰,邓锦鑫,蔡成润,陈琰宏,N,N
259,154,扬州大学,柚子醋蒸虾头,2,105,-,-,+1(6),-,-,-,-,-,-,-,+2(79),-,-,33%,Honorable,余兴正,宋世荣,蒋蠡,徐晓华,N,N
260,155,山东科技大学,心宿号,2,105,-,-,+1(21),-,-,-3,-,-,-,-,+1(84),-,-,0%,Honorable,于冠华,陈家祺,马锐,吴振寰,N,N
261,156,浙江科技大学,土申王,2,108,-,-,+2(7),-,-,-,-,-,-,-,+2(61),-,-,50%,Honorable,金昀,祝嘉豪,祁佳乐,薛林林,N,N
262,157,西北大学,欲买桂花同载酒,2,108,-,-,+1(6),-,-,-7,-,-,-,-,+3(62),-,-,50%,Honorable,李佳铭,赵嘉伟,费文强,王德奎,N,N
263,158,武汉工程大学,关关过,2,108,-,-,+1(7),-,-,-1,-,-,-,-,+2(81),-,-,33%,Honorable,李嘉欣,汪雅琪,王杨晶,陈灯,N,N
264,,华南师范大学,过了样例就算对,2,108,-,-,+1(6),-,-,-3,-,-,-,-,+2(82),-,-,33%,Honorable,丁林,曾翔,何文标,陈寅,N,N
265,,天津大学,八骏宏图,2,110,-,-,+1(7),-,-,-7,-,-,-1,-,+4(43),-,-,60%,Honorable,郑铮,崔亚鑫,靳佳琦,赵满坤,N,N
266,159,长春理工大学,神人乐队与动物朋友,2,110,-,-,+1(5),-,-,-7,-,-,-,-,+2(85),-,-,33%,Honorable,史振宜,梁寒兵,周熙众,张宇昕,N,N
267,160,香港理工大学,不见🐴,2,111,-,-,+1(8),-,-,-7,-,-,-,-,+3(63),-,-2,50%,Honorable,付冠赫,徐铭悦,黄瑞满,李博,N,N
268,161,北方工业大学,流光碎影,2,111,-,-,+1(5),-,-,-5,-,-,-,-,+1(106),-,-,0%,Honorable,黄梨宸,邱睿,刘屹鸥,李源,N,N
269,162,合肥工业大学,合工大1队,2,112,-,-,+4(14),-,-,-,-,-,-,-,+1(38),-,-,60%,Honorable,张力中,丁帅,贾秀泽,曹力,N,N
270,163,云南大学,/kill @e,2,112,-,-,+1(8),-,-,-3,-,-,-,-,+2(84),-,-,33%,Honorable,史哲轩,唐嘉骏,姜凡,刘金卓,N,N
271,164,河南理工大学,Kiana Dash!,2,113,-,-,+1(7),-,-,-1,-,-,-,-,+3(66),-,-,50%,Honorable,刘逸潇,刘成成,李玉龙,张建春,N,N
272,165,江西财经大学,喜欢只是错觉,2,114,-,-,+1(5),-,-,-,-,-,-,-,+3(69),-,-,50%,Honorable,衷铭川,张云菲,万俊哲,焦贤沛,N,N
273,,武汉理工大学,武理最速WA传说,2,114,-,-,+1(7),-,-,-2,-,-,-,-,+2(87),-,-,33%,Honorable,徐炳戌,郭逸非,吴一铭,韦宇,N,N
274,,华南理工大学,AC自动机,2,116,-,-,+1(7),-,-,-3,-,-,-,-,+2(89),-,-,33%,Honorable,王鸿瑞,孙亦可,杨睿轩,冼楚华,N,N
275,,香港科技大学,Chewing Machine,2,117,-,-,+1(8),-,-,-,-,-,-,-,+2(89),-,-,33%,Honorable,杨善进,罗广捷,黄一阳,饶哲凡,N,N
276,,National University of Mongolia,L4ST_DANCE_uo,2,118,-,-,+1(4),-,-,-6,-,-,-,-,+3(74),-,-,50%,Honorable,Munkh-Orgil Nergui,Khanbileg Purevdorj,Surenjamts Tsedevsuren,Bagabold Gendensuren,N,N
277,,中国矿业大学,三只煤球想成金,2,118,-,-,+1(9),-,-,-6,-,-,-,-,+2(89),-,-,33%,Honorable,杜重阳,倪浩宸,吴帅,杨文嘉,N,N
278,166,大连海事大学,来点二次元,2,119,-,-,+1(10),-,-,-11,-,-,-,-,+3(69),-,-,50%,Honorable,胡懿庭,陆遥,蒋宜廷,曹志英,N,N
279,,浙大宁波理工学院,深暗幻想,2,120,-,-,+1(4),-,-,-,-4,-,-,-1,+2(96),-,-,33%,Honorable,何家俊,郑城坤,谢佳灏,郭新友,N,N
280,,东北大学秦皇岛分校,数据别和我们作队,2,121,-,-,+1(6),-,-,-14,-,-,-,-,+4(55),-,-,60%,Honorable,朱逸飞,陈小全,赵星凯,王和兴,N,N
281,167,湖南师范大学,夔一足矣,2,124,-,-,+1(4),-,-,-10,-,-,-,-,+4(60),-,-,60%,Honorable,陶子杨,赵禹翔,陈岳燊,罗迅,N,N
282,,宁波大学,Through Patches of Violent,2,124,-,-,+1(6),-,-,-6,-,-,-,-,+3(78),-,-,50%,Honorable,张增城,杨耀康,郭轩阳,陈叶芳,N,N
283,,河海大学,0d00爆吃0721发罚时用粉色起爆器炸毁评测机,2,128,-,-,+2(11),-,-,-,-,-,-,-,+3(57),-,-,60%,Honorable,蔡志谦,高铎,郭景星,张雪洁,N,N
284,168,江西师范大学,I have no idea.,2,128,-,-,+2(10),-,-,-4,-,-,-,-,+2(78),-,-,50%,Honorable,杨加航,陈泽帆,王诗琳,卢家兴,N,N
285,169,大连理工大学盘锦校区,无限战争,2,128,-3,-,+2(9),-,-,-9,-,-,-,-,+1(99),-,-,33%,Honorable,雷云辉,董宗宇,屠奕铭,焦力宾,N,N
286,,中国传媒大学,中午少年先疯队,2,129,-,-,+1(6),-,-,-1,-,-,-,-,+4(63),-,-,60%,Honorable,杨希裕,吴少泽,梁峻搏,黄玮,N,N
287,170,苏州科技大学,鹅鹅鹅,2,129,-,-,+1(5),-,-,-,-,-,-,-,+3(84),-,-,50%,Honorable,王永刚,陈泽玮,邹昱,程成,N,N
288,,湖南大学,蝴蝶穿花,2,133,-2,-,+1(5),-,-,-1,-,-,-,-,+2(108),-,-,33%,Honorable,李知夏,萧楚寒,陈明哲,黄宇,N,N
289,,东北大学,东北大学_实在不行输出随机数吧,2,137,-,-,+1(6),-,-,-,-4,-,-,-,+4(71),-,-,60%,Honorable,王百汇,施博文,董新畅,刘小锋,N,N
290,,重庆邮电大学,憧憬成为ACM高手,2,140,-,-,+1(7),-,-,-5,-,-,-,-,+2(113),-,-,33%,Honorable,张志学,李永康,王磊铭,沈靖程,N,N
291,,香港科技大学（广州）,请输入文本,2,141,-3,-,+2(9),-,-,-,-,-,-,-,+4(52),-,-,66%,Honorable,张思达,刘秋悦,梁君豪,熊辉,N,N
292,171,东北林业大学,可爱的小tralalelo,2,142,-,-,+1(13),-,-,-2,-,-,-,-,+4(69),-,-,60%,Honorable,张连鹏,李辉宇,吴桐,陈宇,N,N
293,172,东莞理工学院,求求你让我a一题,2,142,-1,-,+1(5),-,-,-,-,-,-,-,+3(97),-,-,50%,Honorable,陈子扬,林航,唐明川,陈传祥,N,N
294,,东北大学,东北大学_二周目的记忆,2,144,-,-3,+2(8),-,-,-2,-,-,-5,-,+1(116),-,-,33%,Honorable,孙祥坤,张天一,卢逸衡,刘小锋,N,N
295,173,深圳技术大学,SZTU_云中锦书,2,145,-,-,+1(4),-,-,-4,-,-,-,-,+4(81),-,-,60%,Honorable,徐鑫,张可怡,杨丰瑜,郭云镝,N,N
296,174,南阳理工学院,没事还有另一队,2,146,-,-,+1(6),-,-,-11,-,-,-,-,+4(80),-,-,60%,Honorable,张飞航,夏圣燕,黎鹏翔,陈可,N,N
