Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
43,29,西安交通大学,过往的画面全都是我不队,6,949,-,+7(189),+3(5),-,-,+2(164),+1(158),-5,+1(220),-,+1(33),-,-,60%,Silver,邱宇成,石皓文,王博想,王龙翔,N,N
44,30,西湖大学,world.execute(me);,6,967,-4,+1(174),+2(3),-,-,-,+1(232),+1(56),+1(257),-,+3(185),-,-,33%,Silver,汪阳,俞开,严密,周广成,N,N
45,,华中科技大学,和平讨论不带节奏,6,1071,-,+4(283),+1(7),-,-,+2(144),+1(252),-,+4(155),-,+2(70),-,-,57%,Silver,聂卓然,杨家祯,冯育硕,何琨,N,N
46,31,香港科技大学,HKUST1,6,1074,-,+2(297),+1(6),-,-,+1(143),-,+1(93),+1(233),-,+6(182),-,-,50%,Silver,Taimas Korganbayev,Raiymbek Baishuak,Mukhammadarif Sakhmoldin,饶哲凡,N,N
47,32,杭州电子科技大学,杭电2队,6,1120,-,+3(91),+1(4),-,-,+6(215),+6(254),-4,+1(242),-,+3(34),-,-,70%,Silver,乐星宇,王秉杭,张雨泽,刘春英,N,N
48,33,大连理工大学,这么六！,6,1124,-,-2,+1(4),-,-,+5(278),+2(229),+1(175),+1(258),-,+1(80),-,-,45%,Silver,钟剑辉,毛祥宇,刘泽轩,梁冰,N,N
49,34,北京化工大学,北极熊,5,398,-,-14,+1(4),-,-,+2(40),+2(151),-1,+1(107),-,+1(56),-,-,28%,Silver,彭天祺,陈昊然,熊家怡,刘勇,N,N
50,,广东工业大学,螺旋上升,5,540,-,-,+1(7),-,-,+1(66),-1,+1(262),+1(117),-2,+2(68),-,-,16%,Silver,吴伟涛,梁展榕,陈栖羽,孙宣东,N,N
51,35,山东大学,分形黄昏,5,569,-,+1(116),+1(3),-,-,+2(186),-1,-,+1(228),-,+1(16),-,-,16%,Silver,郑睿杰,林星宇,卢俊宇,鹿旭东,N,N
52,36,河海大学,罚时之羽如深渊相伴 血色acm人生！,5,596,-,-1,+1(4),-,-,+1(44),+1(249),-1,+3(182),-,+1(77),-,-,28%,Silver,林桁,周厚望,吕广信,张雪洁,N,N
53,37,重庆工程学院,布鲁粉丝团,5,614,-,-,+1(8),-,-,+1(107),+2(183),+1(224),-,-,+2(52),-,-,28%,Silver,张翔,胡鑫昊,向黎华,陈彬,N,N
54,38,北京航空航天大学,来财,5,616,-,-,+1(5),-,-3,+3(96),+3(128),-,-,-,+1(40),-,+1(267),44%,Silver,王泓翔,谭喆文,杨佳宇轩,宋友,N,N
55,39,哈尔滨工业大学（深圳）,会赢吗？,5,623,-2,-,+1(8),-,-,+3(111),+1(211),-,+2(168),-,+1(65),-,-,37%,Silver,秦绍竣,王一鸣,任德阳,李穆,N,N
56,40,华南理工大学,失落之城,5,655,-,-,+1(5),-,-,+1(128),+1(233),-,+4(176),-,+1(53),-,-,37%,Silver,王雅恒,叶文煜,黄烁韩,冼楚华,N,N
57,41,东北大学,东北大学_魔法霰弹,5,676,-,-,+1(5),-,-,+4(72),+1(149),-,+6(264),-,+1(26),-,-1,61%,Silver,李卓恒,袁家铭,秦子溪,刘小锋,N,N
58,42,西安电子科技大学,咖啡馆的贴贴物语,5,677,-2,-9,+1(7),-,-,-3,+1(240),+1(258),+1(119),-,+1(53),-,-,0%,Silver,邹文定,洪健力,王翼天,王笛,N,N
59,43,上海大学,树上猫猫头,5,714,-,-,+1(13),-,-,+2(158),+1(181),+1(243),-9,-1,+3(59),-,-,37%,Silver,房辰燏,松浩然,潘铧超,沈俊,N,N
60,,武汉大学,ACM也有小巧思吗,5,715,-,-3,+1(4),-,+1(194),+2(91),+4(257),-,-,-,+2(69),-,-,50%,Silver,李泽基,袁仁远,黄子君,董文永,N,N
61,44,同济大学,云开自天明,5,720,-,-,+1(6),-,-,+4(197),+1(157),-,+3(114),-,+2(126),-,-,54%,Silver,姜乃珲,杜宇轩,李烨,叶晨,N,N
62,,北京理工大学,木叶三忍,5,756,-,-,+1(4),-,-,+4(104),+2(240),-12,+1(276),-,+1(52),-,-,44%,Silver,邵子鸣,王煜皓,陈家辉,李秀星,N,N
63,45,安徽大学,众梦之聚,5,761,-,-,+1(5),-,-,+4(123),+2(280),-,+2(190),-,+1(63),-,-,50%,Silver,周宇轩,许钧剑,姚锐,李春春,N,N
64,46,湖南城市学院,灰姑娘的故事,5,765,-,-,+1(6),-,-,+2(231),+1(255),-,+1(216),-,+1(37),-,-,16%,Silver,王钦荣,张文杰,覃琪,廖枝平,N,N
65,47,中国地质大学（北京）,棒打小鲜橙,5,769,-,-,+1(7),-,-,+4(158),+1(276),-,+1(235),-,+1(33),-,-,37%,Silver,许兴城,牛鸿宇,叶宇翔,夏军宝,N,N
66,48,中南大学,天堂鸟,5,801,-,-2,+1(6),-,-,+3(110),+3(243),-,+4(196),-,+3(66),-,-,64%,Silver,张博源,孙汉涛,沈宇科,张健,N,N
67,,浙江大学,歪比巴卜,5,823,-,-,+1(5),-,-,+2(108),+1(259),+3(242),-,-,+2(129),-,-,44%,Silver,王子尧,朱容阳,朱航逸,王灿,N,N
68,,上海交通大学,空月之歌,5,831,-,-,+1(8),-,-,+1(204),+1(183),+1(293),-,-,+3(103),-,-,28%,Silver,朱一铭,周学信,任子杭,俞勇,N,N
69,,四川大学,算法捕猎队,5,842,-,-,+1(4),-,+1(191),-6,+3(226),-,+2(254),-,+1(107),-,-,37%,Silver,黄雨阳,付乙淼,陈启越,左劼,N,N
70,49,江南大学,禁忌「莱瓦汀」,5,852,-,-,+1(4),-,-,+1(65),+10(291),+3(233),-,-,+1(39),-,-,68%,Silver,董万里,赵泓博,刘珺哲,蒋敏,N,N
71,,山东大学,海鸥灭火器,5,861,-,-,+2(8),-,-,+3(239),+1(215),-,+2(192),-,+2(107),-,-,50%,Silver,苏苏,王艺臻,刘子龙,崔学峰,N,N
72,,北京邮电大学,Synthesis,5,894,-,-,+2(6),-,-,+1(146),+5(266),-,+7(218),-,+1(38),-,-,68%,Silver,吴显熠,詹笙平,李天阳,杨亚,N,N
73,,武汉大学,快乐帮,5,910,-,-,+1(4),-,-,+3(120),+7(287),-,-,-,+1(48),-,+1(291),61%,Silver,林喆霖,崔祯航,范锦炜,董文永,N,N
74,,哈尔滨工业大学（深圳）,哈气五小时,5,947,-,-,+1(5),-,-,-4,+1(181),+1(254),+3(299),-,+4(108),-,-,50%,Silver,曹鹏宇,曹锦程,高俊垚,唐琳琳,N,N
75,,山东大学,圆一定要是圆形的,5,1016,-,-6,+1(6),-,-,+5(166),+1(227),-,+1(260),-,+4(217),-,-,58%,Silver,叶世昕,高士轩,孙更欣,崔学峰,N,N
76,50,湘潭大学,冬月既朔,5,1050,-,-,+1(5),-,-,+4(177),+2(254),-,+8(241),-,+4(93),-,-,73%,Silver,谢东骏,李名杰,谢先皓,谢勇,N,N
77,51,浙大城市学院,别碰我键盘,4,177,-,-,+1(5),-,-,+1(56),+1(81),-8,-,-,+1(35),-,-,0%,Silver,项天聪,杨烨锋,张宸赫,柯海丰,N,N
78,52,国防科技大学,potato_AC_tomato,4,286,-,-12,+2(10),-,-,+1(115),+1(70),-,-,-,+2(51),-,-,33%,Silver,彭正圣,杨天鹏,马艺洋,张元良,N,N
79,,哈尔滨工业大学,长崎不爽世,4,311,-,-,+1(6),-,-,+2(98),+2(129),-,-,-,+1(38),-,-,33%,Silver,杜宇丰,黎子川,陈信帆,赵文博,N,N
80,,杭州电子科技大学,杭电6队,4,315,-,-,+1(5),-,-,+1(141),+1(107),-,-,-,+1(62),-,-,0%,Silver,伍耀文,姜浥尘,王泽,刘春英,N,N
81,53,华南师范大学,破解诅咒的魔法,4,373,-,-,+1(4),-,-,-,+1(204),-,+1(100),-,+1(65),-,-,0%,Silver,蔡润钦,余昕烨,温则葆,梁军,N,N
82,,香港中文大学（深圳）,正在验证该队是否是真人。,4,390,-,-,+1(6),-,-,+1(94),-1,+1(170),-,-,+4(60),-,-,42%,Silver,孙超逸,周天,张力文,方一向,N,N
83,,厦门大学,绝密icpc保险出金了,4,391,-,-,+1(4),-,-,+1(78),+1(272),-,-1,-,+1(37),-,-,0%,Silver,彭泽喜,王业盛,吴俊豪,蔡炳跃,N,N
84,54,河南大学,自由发挥,4,392,-2,-,+1(5),-,-,+2(114),-8,-,+1(206),-,+1(47),-,-,20%,Silver,李锦辉,魏文博,尤铭,闫永航,N,N
85,55,吉林大学,未来纵澜,4,404,-,-,+2(9),-,-,+1(61),-3,-,+1(223),-,+2(71),-,-,33%,Silver,刘昱,王宗凡,张力文,吕帅,N,N
86,,华中科技大学,糖果酱,4,407,-,-,+1(6),-,-,+1(73),+1(207),-1,-9,-,+2(101),-,-,20%,Silver,李嘉明,赵亮亮,丁易然,何琨,N,N
87,,南京大学,黑骑士,4,419,-,-1,+1(6),-,-,+3(183),+1(119),-1,-,-,+2(51),-,-,42%,Silver,寇裕林,周尹丞,鲍辰睿,马骏,N,N
88,,西安交通大学,锦筝叹,4,434,-,-6,+1(8),-,-,+5(170),+1(138),-,-,-,+1(38),-,-,50%,Silver,李牧远,钟宇,胡辰同,王龙翔,N,N
89,,华南理工大学,Fast Fast TLE,4,435,-,-,+1(5),-,-,+1(147),+1(235),-,-4,-,+1(48),-,-,0%,Silver,吴挺宇,吴尚鸿,甘景贤,冼楚华,N,N
90,,同济大学,Non-Trivial TLE,4,446,-,-,+1(6),-,-,+2(52),+3(272),-,-,-,+1(56),-,-,42%,Silver,潘越,许思源,上官思洋,叶晨,N,N
91,,上海大学,蒟蒻联盟,4,453,-,-,+1(5),-,-,+1(127),+2(242),-,-6,-,+2(39),-,-,33%,Silver,陈仕杰,戴于洋,包嘉旻,辛立明,N,N
92,56,香港大学,外国人,4,458,-,+2(217),+2(3),-,-,+2(96),-,-,-6,-,+2(62),-,-,50%,Silver,Christivan Komah,Owen Sidarta,Akhmet Issa,邝启鹏,N,N
93,57,浙江理工大学,"兄弟,你怎么还在WA",4,462,-,-,+1(4),-,-,+1(177),+1(175),-,-,-,+3(66),-,-,33%,Silver,贺宇昊,余江辉,江子豪,叶海荣,N,N
94,58,南京信息工程大学,鲤鱼移动的速度是二米每秒,4,475,-,-,+2(7),-,-,+3(101),+2(209),-,-,-,+1(78),-,-,50%,Silver,栗雨,何文煜,刘思奇,郑关胜,N,N
95,,北京航空航天大学,灵知的计算信仰,4,482,-,-,+1(4),-,-,+2(195),+1(187),-,-1,-,+2(56),-,-,33%,Silver,段岳辰,任一杰,张子昱,宋友,N,N
96,59,中国科学院大学,Chirp-Z变换,4,485,-,-,+1(4),-,-,-5,+1(230),-,+2(123),-,+1(108),-,-1,20%,Silver,许晋升,朱奕杰,许天祺,孙晓明,N,N
97,60,浙江师范大学,我是猫娘,4,490,-,-,+1(4),-,-,-3,+1(225),-,+1(217),-,+1(44),-,-,0%,Silver,潘锦桦,曹钰超,俞天琦,邱晟,N,N
98,61,湖北工业大学,Doro给你带了哦润吉,4,502,-,-11,+2(5),-,-,+3(134),+4(183),-,-,-,+2(40),-,-,63%,Silver,梅锦昕,李怡爽,黄胡智宇,徐承志,N,N
99,,香港科技大学,红鸟先飞,4,504,-,-,+1(7),-,-,+5(159),+1(188),-,-,-,+1(70),-,-,50%,Silver,郑君赫,卢凯宾,杨子鉴,饶哲凡,N,N
100,62,中国地质大学（武汉）,不可思议之国的爱丽丝正在梦游仙境,4,511,-,-,+1(8),-,-,+3(124),+2(183),-,-,-,+3(96),-,-,55%,Bronze,陈学海,李诏天,毛郅皓,张锋,N,N
101,63,广西大学,奇迹与你,4,513,-,-3,+1(5),-,-,+1(187),+1(236),-,-,-,+3(45),-,-,33%,Bronze,曾佳宁,杨明辉,石新阳,詹锋,N,N
102,,河海大学,我的ACM铁牌物语果然有问题,4,515,-2,-,+1(4),-,-,+4(166),-,-,+1(237),-,+1(48),-,-,42%,Bronze,付宏磊,朱庆刚,王子朔,朱云,N,N
103,,湘潭大学,赢赢赢,4,530,-,-,+1(6),-,-,+4(278),+1(160),-,-,-,+1(26),-,-,42%,Bronze,陈波,颜伟斌,宋仕凯,谢勇,N,N
104,,华南师范大学,A了这题就吃麦旋风,4,541,-,-,+2(5),-,-,+5(160),+1(233),-,-,-,+1(43),-,-,55%,Bronze,袁浩轩,黄家谦,侯俊宇,梁军,N,N
105,,北京理工大学,哈基米哦南北绿豆啊西嘎哈呀库,4,549,-,-,+1(3),-,+3(252),+1(59),-2,-,-,-,+6(95),-,-,63%,Bronze,梁思源,郑润哲,彭田栩,林永钢,N,N
106,,香港中文大学（深圳）,禁忌「O(1)の弹幕结界」,4,553,-,-,+1(6),-,-,+2(146),+4(210),-,-,-,+2(91),-,-,55%,Bronze,周信言,叶嘉泓,Adam Tejasukmana,方一向,N,N
107,,吉林大学,一发猜对,4,567,-,-,+1(7),-,-,+4(78),+1(227),-,-7,-,+3(155),-,-,55%,Bronze,拱垲,张健哲,袁英麒,吕帅,N,N
108,64,湖南科技大学,馥梦繁花,4,571,-,-,+1(4),-,-,+2(112),+4(278),-,-,-,+3(57),-,-,60%,Bronze,胡博潇,毛祎昀,蒋心妍,陈燕晖,N,N
109,65,南京理工大学,彩虹猫猫头,4,581,-,-,+2(3),-,-,+3(163),+1(238),-,-,-,+4(57),-,-2,60%,Bronze,吴东来,冯宇杰,刘一欢,余立功,N,N
110,,中国科学技术大学,大吃大喝大队,4,585,-,-,+2(6),-,-,+4(256),-,-,+1(159),-,+1(84),-,-,50%,Bronze,李存淳,丁许同,杜明珉,周英华,N,N
111,66,上海理工大学,爆一发只是在测数据强度,4,591,-1,-2,+1(5),-1,-1,+2(215),+1(284),-2,-2,-1,+2(47),-1,-1,33%,Bronze,周正杰,李健,胡术淇,周春樵,N,N
112,,南京大学,无名队,4,592,-,+2(261),+1(6),-,-,+3(186),-2,-,-,-,+1(79),-,-,42%,Bronze,蒋雨泽,林晨浩,计昀,张志伟,N,N
113,67,北京交通大学,交一发先,4,605,-,-,+1(3),-,-,+1(50),+1(254),-,-,-,+6(198),-,-,55%,Bronze,刘泽晖,孙宁,王嘉胜,许华婷,N,N
114,68,华南农业大学,那一天的鬼火再响起来,4,608,-,-,+1(3),-,-,+1(261),+1(210),-,-5,-,+3(94),-,-,33%,Bronze,梁嘉俊,谢易居,袁熙,陈湘骥,N,N
115,69,兰州大学,三条区好想成为人类,4,615,-,-,+1(10),-,-,+2(220),+1(269),-,-,-,+3(56),-,-,42%,Bronze,吕澎,吴晨阳,张恩彬,马俊,N,N
116,70,华东师范大学,河西食堂转生队,4,615,-,-,+1(4),-,-,+3(198),+1(274),-,-,-,+2(79),-,-,42%,Bronze,宗乃一,刘昕东,沈崇焕,杜育根,N,N
117,71,新疆大学,朝歌,4,630,-,-,+1(29),-,-,+8(281),-,-,+1(104),-,+1(76),-,-,63%,Bronze,夏健翔,赵泽垒,侯雅虹,马梦楠,N,N
118,,北京邮电大学,我太想进步了,4,631,-,-,+1(2),-,-,+3(207),+1(286),-,-1,-,+1(96),-,-,33%,Bronze,蔡佩霖,黄志阳,徐嘉晨,杨亚,N,N
119,72,南京邮电大学,归真守朴，韬光养宝，含英咀华，声震天下,4,659,-4,-,+1(5),-,-,+4(148),+5(268),-,-,-,+3(58),-,-,69%,Bronze,展翼,田晓亮,王瑞阳,陈志,N,N
120,,西安电子科技大学,无色透明,4,667,-,-,+1(5),-,-,+4(223),+3(290),-,-,-,+1(49),-,-,55%,Bronze,杨润彬,卢宇欣,李聿垲,杨力,N,N
121,,河海大学,三重积分,4,668,-,-,+1(7),-,-,+3(298),+1(252),-,-,-,+1(71),-,-,33%,Bronze,杨帆,蔡松廷,江晟东,张雪洁,N,N
122,73,宁波大学,泥巴动物园,4,670,-,+8(199),+1(4),-,-,-2,+2(268),-,-,-,+1(39),-,-,66%,Bronze,吴镇桥,沈天佑,胡健山,陈叶芳,N,N
123,74,武汉纺织大学,2007,4,680,-,-,+1(6),-,-,-5,+3(239),-,+4(289),-,+1(46),-,-,55%,Bronze,孔浩杰,刘洋,费文伟,张自力,N,N
124,,哈尔滨工业大学（威海）,昨日圆车,4,721,-,-,+1(5),-,-,+10(210),+2(263),-,-1,-,+1(43),-,-,71%,Bronze,廖航,李欣鹏,焦浩清,张淼,N,N
125,,四川大学,打一辈子ACM,4,743,-,-,+1(5),-,-,+3(292),+4(284),-,-,-,+2(42),-,-,60%,Bronze,刘泽勋,钟诚,许圳达,左劼,N,N
126,,南京理工大学,流明猫猫头,4,756,-,-,+1(7),-,-,+3(227),+1(290),-,-,-,+4(132),-,-,55%,Bronze,黄苏闽,谢景帆,郭思易,余立功,N,N
127,,西北工业大学,呼神护卫,3,181,-,-,+1(6),-,-,-5,-,-,+1(144),-,+1(31),-,-,0%,Bronze,万梓宸,魏子尧,刘骐铭,刘君瑞,N,N
128,75,广州大学,西哈诺,3,198,-,-,+1(3),-,-,-4,+1(164),-,-,-,+1(31),-,-,0%,Bronze,郑灵杰,陈全隆,潘胜云,赵睿,N,N
129,,香港大学,今天必须取个队名,3,200,-,-,+2(5),-,-,+1(139),-1,-,-1,-,+1(36),-,-,25%,Bronze,杨明天,罗简,刘彦呈,邝启鹏,N,N
130,76,江苏大学,Silversong,3,201,-,-,+1(8),-,-,+1(151),-,-,-3,-,+1(42),-,-,0%,Bronze,李梦婷,庞政,龚泽民,潘雨青,N,N
131,77,山东理工大学,我每天打ACM也没上瘾啊,3,206,-,-,+1(9),-,-,+1(113),-,-,-,-,+1(84),-,-,0%,Bronze,杨庭硕,崔立栋,王佳丽,张先伟,N,N
132,78,重庆大学,次元沸腾,3,212,-,-,+1(6),-,-,+2(81),-5,-,-,-,+3(65),-,-,50%,Bronze,陈孙一硕,包函睿,韩金东,李佳,N,N
133,,西北工业大学,憧憬成为算法少女,3,225,-,-,+1(4),-,-,+1(175),-1,-,-,-,+1(46),-,-,0%,Bronze,甘云帆,刘雨萱,钟礼恩,刘君瑞,N,N
134,79,浙大宁波理工学院,青梅绿茶,3,254,-,-,+1(5),-,-,+2(141),-1,-,-2,-,+1(88),-,-,25%,Bronze,吴东,涂荣基,吴泽坤,郭新友,N,N
135,,中南大学,go学长拒绝wa学弟,3,257,-,-3,+1(5),-,-,-6,+2(206),-,-,-,+1(26),-,-,25%,Bronze,廖洋,王宇涵,张卓然,张健,N,N
136,,湘潭大学,机魂大悦,3,262,-,-,+1(4),-,-,-6,+1(182),-,-2,-,+2(56),-,-,25%,Bronze,刘璟轩,郑智彬,范文涵,谢勇,N,N
137,80,南通大学,屠零,3,263,-,-,+1(7),-,-,+1(146),-,-,-,-,+2(90),-,-,25%,Bronze,仝乾,俞丞,王见祖,陈翔,N,N
138,81,华中师范大学,兄弟，我来助你,3,264,-,-,+1(11),-,-,-6,-,-,+1(173),-,+1(80),-,-,0%,Bronze,郑壹腾,张凯文,杨哲灏,叶俊民,N,N
139,82,南京工业大学,我太想进步了,3,286,-,-7,+1(4),-,-,+4(168),-,-,-,-,+2(34),-,-,57%,Bronze,叶劭伟,钱致宁,陈立森,刘斌,N,N
140,83,浙江工商大学,猫猫骑士团,3,290,-1,-2,+1(6),-1,-1,-3,+2(187),-1,-1,-1,+2(57),-1,-1,40%,Bronze,卢嘉亮,张任杰,杨毅博,胡毓励,N,N
141,84,深圳大学,导员抱歉高数看成高铁了，都在说ICPC以为英语课呢,3,293,-,-,+1(4),-,-,+1(96),-2,-,-,-,+3(153),-,-,40%,Bronze,肖俊祺,温家燊,廖昱堃,秦建斌,N,N
142,85,天津工业大学,香香软软白白嫩嫩可可爱爱队,3,293,-,-,+1(8),-,-,-5,+2(189),-,-,-,+2(56),-,-,40%,Bronze,孙海杭,李俊贤,宫昌禹,任淑霞,N,N
143,86,哈尔滨工程大学,go学长带着瓦妈妈逃离三角洲去打舞萌,3,296,-,+3(170),+1(8),-,-,-1,-,-,-,-,+2(58),-,-,50%,Bronze,赵新凯,孙江吉,闫力仁,国林,N,N
144,,上海大学,对对对,3,298,-,-,+1(7),-,-,+3(195),-9,-,-,-,+1(56),-,-,40%,Bronze,潘子扬,聂冬亮,吴宇辉,沈俊,N,N
145,87,南昌航空大学,那一天的算法，算法起来,3,312,-,-,+1(7),-,-,+4(172),-1,-,-,-,+2(53),-,-,57%,Bronze,黄心磊,张进超,林培豪,陈英,N,N
146,,浙江工业大学,ZJUT4,3,312,-,-,+1(5),-,-,-3,+2(228),-,-,-,+1(59),-,-,25%,Bronze,马浩俊,林雨铖,付鹏汇,王春平,N,N
147,88,中国石油大学（华东）,UPC2005,3,313,-,-,+1(10),-,-,+2(199),-,-,-1,-,+1(84),-,-,25%,Bronze,张兴硕,李治欣,王祾祯,张学辉,N,N
148,89,华北电力大学（保定）,廉颇老矣，尚能饭否？,3,314,-1,-,+1(6),-,-,+1(137),-4,-,-,-,+4(111),-,-,50%,Bronze,梁朝阳,朱浩宇,闻瑞祥,龚信华,N,N
149,90,华中农业大学,藏题的时候在干什么？能别笑吗？有点AC数吧,3,315,-,-,+1(5),-,-,-9,+3(229),-,-,-,+1(41),-,-,40%,Bronze,苏森阳,王敬淞,张毅,李嘉位,N,N
