Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coaches,Unofficial,Girl
201,,中南大学,少猪哭泣乐队,3,728,-,-,+1(29),-,-,-,-,-,-,-,+13(291),+2(148),-,81%,Honorable,吴让尧,吴俊杰,裴心童,张健,N,N
202,137,中国矿业大学,码到成功,2,116,-,-,+1(36),-,-,-3,-,-,-,-,+1(80),-3,-,0%,Honorable,晁荣卫,林昱达,何铭昊,毕方明,N,N
203,,中国传媒大学,中传赶紧修梆子井地道队,2,117,-,-,+1(30),-,-,-,-,-,-,-,+1(87),-,-,0%,Honorable,李润淇,刘同星,马一天,黄玮,N,N
204,138,鲁东大学,三只珍妮,2,119,-,-,+1(16),-,-,-2,-,-,-,-,+1(103),-11,-,0%,Honorable,孙健强,袁正杰,李俊锋,张小峰,N,N
205,139,武汉软件工程职业学院,我的带专生物語果然有問題,2,123,-,-,+1(19),-,-,-,-,-,-,-,+1(104),-1,-,0%,Honorable,郭臣希,吴伟凡,樊洪涛,余放,N,N
206,140,杭州电子科技大学信息工程学院,无尽的风之轨迹呢,2,125,-,-,+1(22),-,-,-,-,-,-,-,+1(103),-,-,0%,Honorable,兰德涵,吴锦豪,徐俊豪,李钧,N,N
207,141,河南工程学院,南苑二队,2,127,-,-,+1(31),-,-,-3,-,-,-,-,+1(96),-1,-,0%,Honorable,胡亚灿,刘朝阳,毛成琦,张天伍,N,N
208,,东北大学秦皇岛分校,洛森指针,2,132,-,-,+1(34),-,-,-,-,-,-,-,+2(78),-9,-,33%,Honorable,曾凡一,曹耀仁,聂恒,周杨,N,N
209,,浙江工业大学,ZJUT5,2,141,-,-,+2(24),-,-,-4,-,-,-,-,+1(97),-,-,33%,Honorable,叶许乐,俞佳毅,蒋徐杰,韩姗姗,N,N
210,142,华中师范大学,麻衣学姐想念zzz,2,148,-,-,+1(22),-,-,-,-,-,-,-,+2(106),-,-,33%,Honorable,王绪毅,邹卓昂,晏维阳,叶俊民,N,N
211,,山东科技大学,鹰号,2,151,-,-,+2(29),-,-,-,-,-,-,-,+1(102),-3,-,33%,Honorable,秦立杰,徐涵煜,杨竣凯,吴振寰,N,N
212,143,浙江万里学院,轮回之糸,2,152,-,-,+1(25),-,-,-,-,-,-,-,-7,+1(127),-,0%,Honorable,张宇帆,奚舒雯,江若妍,柴本成,N,N
213,144,浙江工业职业技术学院,浙工院1队,2,153,-,-,+1(20),-,-,-3,-,-,-,-,+2(113),-,-,33%,Honorable,曹泽明,孙新杨,戚焱晅,陈暄,N,N
214,145,广州华商学院,777,2,161,-,-,+1(42),-,-,-,-,-,-,-,+1(119),-2,-,0%,Honorable,陈业勤,罗凯滨,黄文乐,蒋少华,N,N
215,,重庆大学,emmm,2,162,-,-,+1(31),-,-,-,-,-,-,-,+1(131),-1,-,0%,Honorable,王培霖,赵叶涵,李子恒,李佳,N,N
216,,西安电子科技大学,风起鹰翔,2,165,-,-,+2(19),-,-,-5,-,-,-,-,-5,+1(126),-,33%,Honorable,陈俊睿,洪龙颖,王骏杰,李辉,N,N
217,,南京邮电大学,圆头耄耋,2,168,-,-,+1(35),-,-,-,-,-,-,-,+1(133),-1,-,0%,Honorable,阚文博,张艺翀,陈昊泽,陈志,N,N
218,,重庆大学,我有异或症,2,178,-2,-,+1(16),-,-,-,-,-,-,-,+3(122),-17,-,50%,Honorable,林继清,曹泽阳,李睿朗,李佳,N,N
219,,东北大学秦皇岛分校,数据别和我们作队,2,184,-,-,+1(14),-,-,-7,-,-,-,-,+2(150),-,-,33%,Honorable,朱逸飞,陈小全,赵星凯,周杨,N,N
220,,苏州大学,憧憬学会STL,2,194,-,-,+1(24),-,-,-,-,-,-,-,+3(130),-5,-,50%,Honorable,周子尧,李宇杰,范宇辰,刘安,N,N
221,,哈尔滨工业大学,为无机世界增添色彩,2,198,-,-,+1(29),-,-,-6,-,-,-,-,+5(89),-,-,66%,Honorable,吴钦鸿,卢思吉,李嘉弘,赵文博,N,N
222,,安徽大学,不再有梦,2,204,-,-,+2(17),-,-,-2,-,-,-,-,+2(147),-3,-,50%,Honorable,许子桢,吕建强,刘圆博,周健,N,N
223,,南京大学,随家仓,2,208,-,-,+1(14),-,-,-,-,-,-,-,-14,+1(194),-,0%,Honorable,樊书岩,邓淇,李承泽,马骏,N,N
224,146,浙江科技大学,看不懂英文,2,218,-,-,+1(25),-,-,-,-,-,-,-,+3(153),-,-,50%,Honorable,朱睿哲,杨佳涵,赵科竣,琚洁慧,N,N
225,147,宁波职业技术大学,她不一样,2,222,-,-,+1(19),-,-,-17,-,-,-,-,+5(123),-1,-,66%,Honorable,何家安,陈明磊,蓝春涛,陈磊,N,N
226,,南京航空航天大学,逸群之彦,2,227,-,-,+1(41),-,-,-,-,-,-,-,+3(146),-4,-,50%,Honorable,王煜文,郑策,何东泽,邹春然,N,N
227,148,西北大学,奶龙乌托邦,2,228,-1,-1,+3(67),-,-,-,-2,-,-,-,+1(121),-1,-,50%,Honorable,郑博航,罗振宇,梁文硕,刘阳洋,N,N
228,,浙江机电职业技术大学,麦秋,2,231,-,-,+2(62),-,-,-,-,-,-,-,+2(129),-,-,50%,Honorable,陈宗全,陈泽澎,沈芸,张宪乐,N,N
229,,中国人民大学,人咪小学,2,234,-,-,+1(15),-,-1,-,-,-,-,-,-3,+1(219),-,0%,Honorable,李昊森,熊洋铭,童奕涵,汪云海,N,N
230,149,阜阳师范大学,汪汪汪汪汪汪队,2,240,-,-,+2(69),-,-,-,-,-,-,-,+1(151),-2,-,33%,Honorable,张学治,王欣,孙健,范建中,N,N
231,150,金华职业技术大学,金华火腿来济南一战,2,243,-,-,+1(57),-,-,-,-,-,-,-,+3(146),-4,-,50%,Honorable,罗家乐,王译霆,周鼎棋,邱郑宜人,N,N
232,151,郑州大学,猴子打字机,2,268,-2,-,+1(24),-,-,-,-,-,-,-,+3(204),-10,-,50%,Honorable,唐博,王朔淇,胡宏波,吴云鹏,N,N
233,,南京理工大学,流明猫猫头,2,268,-,-,+2(25),-,-,-,-,-,-,-,-7,+1(223),-,33%,Honorable,黄苏闽,谢景帆,郭思易,余立功,N,N
234,,厦门大学,一缸石榴,2,271,-,-,+1(55),-,-,-,-,-,-,-,-5,+2(196),-,33%,Honorable,庄嘉豪,李海滨,陈健宇,林颖,N,N
235,152,大连海事大学,晦涩难懂的现代魔法,2,285,-,-,+2(33),-,-,-1,-,-,-,-,-11,+3(192),-,60%,Honorable,王金洋,张文豪,何文韬,曹志英,N,N
236,,湖南师范大学,再努力一把,2,317,-,-,+1(44),-,-,-,-,-,-,-,+4(213),-7,-,60%,Honorable,陶子杨,王雨清,陈灵湘,罗迅,N,N
237,153,山东农业大学,人闲桂花落,2,320,-,-,+1(27),-,-,-,-,-,-,-,-13,+3(253),-,50%,Honorable,范鹏,陈文达,刘祥健,范昊,N,N
238,154,宁波工程学院,天空的格林尼治,2,325,-,-,+1(16),-,-,-,-,-,-,-,-7,+2(289),-,33%,Honorable,陆弘杰,蔡浩宇,胡一鸣,宣江华,N,N
239,155,莆田学院,哈基米~曼波~哈基米哦南北路多,2,326,-,-,+2(16),-,-,-,-,-,-,-,-4,+2(270),-,50%,Honorable,许庆华,龚磊,沈炜程,林少宇,N,N
240,156,安徽工程大学,"不能鸭,WA!",2,333,-,-,+1(33),-,-,-,-,-,-,-,+4(240),-1,-,60%,Honorable,阮杨永,周子豪,余牧,汪军,N,N
241,,华南理工大学,散养走地鸡,2,353,-,-,+2(33),-,-,+4(240),-,-,-,-,-9,-5,-,66%,Honorable,张麟,王奕凯,陈祖榆,林连南,N,N
242,,华东师范大学,"丰川队员,你是否清醒",2,372,-,-,+1(31),-,-,-1,-,-,-,-,-7,+4(281),-,60%,Honorable,李俊辰,陈涵,黄启轩,肖春芸,N,N
243,157,丽水学院,月相人生,2,406,-,-,+1(23),-,-,-2,-,-,-,-,+8(243),-9,-,77%,Honorable,杨楠,孙愉超,江安煜,梅颖,N,N
244,158,山东中医药大学,“编程御林军”队,2,415,-4,-,+1(53),-,-,-,-,-,-,-,+8(222),-,-,77%,Honorable,张保涛,张立康,徐硕,仇大伟,N,N
245,159,武汉科技大学,样例过了就AC,2,419,-,-,+1(23),-,-,-,-,-,-,-,-6,+7(276),-,75%,Honorable,施卓凡,荣成,李文卓,李顺新,N,N
246,160,浙江工业大学之江学院,做博丽灵梦谈古明地恋睡古明地觉,2,434,-8,-,+3(69),-,-,-1,-,-,-,-,+4(265),-,-,71%,Honorable,徐锐,钱嘉炜,肖方涛,戴青锋,N,N
247,161,厦门大学马来西亚分校,我该怎么办?我该去哪里?,2,477,-,-,+3(129),-,-,-1,-,-,-,-,+4(248),-,-,71%,Honorable,高佳越,崔泽禹,刘臻,周笋,N,N
248,162,华北水利水电大学,云宝在摸鱼,1,18,-,-,+1(18),-,-,-,-,-,-,-,-9,-4,-,0%,Honorable,刘桐,邢凯宁,王加燊,杨绍禹,N,N
249,163,上海海洋大学,果仁糖,1,21,-,-,+1(21),-,-,-,-,-,-,-,-7,-,-,0%,Honorable,周子恒,周郁涵,吕天佑,于庆梅,N,N
250,,浙江师范大学,"不是我喜欢的题目,直接哈气",1,22,-,-,+1(22),-,-,-,-,-,-,-,-10,-,-,0%,Honorable,李侑轩,黄玉景,刘彦博,孙广华,N,N
250,164,北京电子科技学院,优秀元务工大队,1,22,-,-,+1(22),-,-,-,-,-,-,-,-2,-1,-,0%,Honorable,李炫睿,岳金涛,汪子涵,李晓东,N,N
252,,浙大城市学院,二三四,1,27,-,-,+1(27),-,-,-11,-,-,-,-,-5,-,-,0%,Honorable,许航杰,林盛,宋珂鑫,柯海丰,N,N
253,,西湖大学,轰炸机数学学院,1,40,-,-,+1(40),-,-1,-1,-,-,-,-,-5,-,-,0%,Honorable,贾岚晴,武子宸,王宇涵,周广成,N,N
254,,浙江师范大学,样例能过就AC,1,59,-,-,+2(39),-,-,-,-,-,-,-,-13,-,-,50%,Honorable,林初凡,李宇廷,严惟傲,叶荣华,N,N
255,165,上海纽约大学,()不是回文,1,63,-,-,+2(43),-,-,-,-,-,-,-,-,-4,-,50%,Honorable,吕和睿,韩晨悦,胡祥祥,顾贤斌,N,N
256,166,沈阳师范大学,对WA使用爆裂黎明吧,1,94,-,-,+1(94),-,-,-,-,-,-,-,-4,-,-,0%,Honorable,黄鑫,杨振申,杨子剑,穆宝良,N,N
257,167,北华大学,北华二队,1,240,-,-,+4(180),-,-,-,-,-,-,-,-11,-,-,75%,Honorable,张鑫,赵文浩,秦翔宇,胡晓宏,N,N
258,168,唐山师范学院,唐山师范学院,1,277,-,-,+9(117),-,-,-,-,-,-,-,-7,-,-,88%,Honorable,王子硕,卢璐妃,王宣,张珺,N,N
259,169,绍兴职业技术学院,做题与作弊之间选了作法,1,332,-,-,+9(172),-,-,-,-,-,-,-,-9,-,-,88%,Honorable,陈珂瑜,赖敏韬,石乘屹,叶倩兰,N,N
260,170,上海第二工业大学,9,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,0%,,何易,马韩明轩,刘俊威,曹校林,N,N
