Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
55,45,齐齐哈尔大学,QQHRU is best school,2,66,-,-,+1(12),-,-,-,-,-,-,-,+1(54),-,-,0%,Bronze,段圣宣,李奇运,蓝俊贤,Peiyao Ke(Coach),N,N
56,46,西华大学,XiXi,2,68,-,-,+1(14),-,-,-,-,-,-,-,+1(54),-4,-,0%,Bronze,石浩楠,谢维文,Lanxuan Wu,Honghong Chen(Coach),N,N
57,47,武汉科技大学,Bulk recombination,2,69,-,-,+1(13),-,-,-2,-,-,-,-,+1(56),-,-,0%,Bronze,张子豪,张轶雯,彭睿,Shunxin Li(Coach),N,N
57,47,山东大学（威海）,Darling,2,69,-,-,+1(10),-,-,-,-,-,-,-,+1(59),-1,-,0%,Bronze,靳可欣,殷越,郑甫,Xiaoming Kong(Coach),N,N
59,49,黑龙江大学,Nonnoncopper,2,76,-,-,+1(13),-,-,-,-,-,-,-,+1(63),-1,-,0%,Bronze,王浩,刘彦良,高阳,Hui Xu(Coach),N,N
60,50,香港城市大学,Three Day Tour,2,83,-,-,+3(15),-,-,-,-,-,-6,-,+1(28),-,-,50%,Bronze,YANGHansEricson,WongKaWa,ChoiKuiWang,Minming Li(Coach),N,N
61,51,华南农业大学,She said she would be with me if I solve another problem,2,85,-,-,+1(20),-,-,-,-,-,-,-,+1(65),-,-,0%,Bronze,陈钢,钟启航,江煊杰,Xudong Lin(Coach),N,N
62,52,集美大学,Can I blitz Hong Kong if I fail in ICPC?,2,89,-,-,+1(19),-,-,-,-,-,-,-,+1(70),-,-,0%,Bronze,林敬炜,谢业成,王力恒,Qing Zhang(Coach),N,N
63,,河北工业大学,Hebut Team 3,2,90,-,-,+1(17),-,-,-,-,-,-,-,+2(53),-6,-,33%,Bronze,黄锦翔,SiWei Huang,李瀚文,Lukui Shi(Coach),N,N
64,53,武汉理工大学,idle imagination,2,91,-,-,+1(17),-,-,-,-,-,-,-,+2(54),-2,-,33%,Bronze,俞烨宸,李意峰,李晨,Dongdong Zhao(Coach),N,N
64,53,西南财经大学,BREaK!BREaK!BREaK!,2,91,-,-,+1(15),-,-,-,-5,-1,-,-,+2(56),-3,-,33%,Bronze,王俊超,杨文昊,王世海,Zhi Chen(Coach),N,N
66,55,西南民族大学,Good Night,2,93,-,-,+1(14),-,-,-,-,-1,-,-,+1(79),-,-,0%,Bronze,傅子益,俞欣,甘梓廷,Lin Wang(Coach),N,N
67,56,江南大学,Taboo Laevatein,2,95,-,-,+1(18),-,-,-,-,-,-,-,+1(77),-6,-,0%,Bronze,唐宇喆,赵泓博,董万里,Min Jiang(Coach),N,N
68,57,厦门大学嘉庚学院,"This is TKK, we're not scared",2,97,-,-,+1(20),-,-,-,-,-,-,-,+1(77),-,-,0%,Bronze,游耀凯,蔡政楠,戚晓鹏,YANG DUNJIONG(Coach),N,N
69,58,四川大学,Secure three-party computation,2,98,-,-,+1(16),-,-,-1,-,-5,-,-,+3(42),-2,-,50%,Bronze,邹昔贝,张逸涵,夏知齐,Jie Zuo(Coach),N,N
69,58,汉口学院,tomorrow is another day,2,98,-,-,+1(13),-,-,-,-,-,-,-,+2(65),-,-,33%,Bronze,李毅云,黄舒畅,鲁胜彪,Shengfei Zhou(Coach),N,N
