Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
148,,华南理工大学,间谍果胶胶,6,569,-,-5,+1(30),-,+3(126),+1(27),+1(134),-,-,+1(10),-,+2(182),33%,Bronze,刘彦佐,白佳业,郭子尧,N,N
149,90,湖北工业大学,旅游还是拿牌,6,571,-,-1,+1(27),-,+3(200),+1(33),+1(65),-,-,+1(16),-,+3(150),40%,Bronze,余腾飞,国泽家,张宇帆,N,N
150,,东北大学,东北大学_贰佰三十四,6,572,-12,-1,+1(49),-,+1(190),+2(28),+2(99),-,-,+1(10),-,+1(156),25%,Bronze,王泽宇,董一如,郑彤,N,N
151,,中山大学,中山大学 - 破败军团,6,576,-1,-,+1(17),+9(267),-8,+1(23),+1(35),-,-,+1(7),-,+1(67),57%,Bronze,姚敏清,彭泽铭,郑海俊,N,N
152,,西安电子科技大学,小孩看到鬼,6,578,-,-,+1(23),-,+2(97),+2(32),+1(131),-,-,+1(11),-,+1(244),25%,Bronze,任秦含,王则清,祝经杭,N,N
153,,东南大学,我口胡超强,6,591,-,-5,+1(36),-,+2(132),+1(30),+1(104),-,-,+1(17),-,+5(172),45%,Bronze,徐宽,王梓鹏,肖旭杰,N,N
154,,南京邮电大学,拯救世界可太有趣辣,6,595,-,-21,+2(60),-,+3(109),+1(30),+1(99),-,-,+1(11),-,+3(186),45%,Bronze,张帅青,蔡振川,金益凡,N,N
155,91,湖南工业大学,std 错了,6,597,-,-2,+1(53),-1,+1(174),+1(41),+1(76),-,-,+2(20),-,+1(213),14%,Bronze,易洋,王献阳,蒋恩亮,N,N
155,91,哈尔滨工业大学（威海）,帅比队长在线征婚,6,597,-,-,+1(39),-,+4(248),+2(37),+1(62),-,-,+1(15),-,+1(116),40%,Bronze,戚煜,曹瑞宁,解裕懋,N,N
157,,湖南大学,重拾信心,6,601,-2,-1,+1(29),-,+1(173),+2(9),+2(86),-,-,+1(22),-,+4(182),45%,Bronze,向金城,周之翔,黄家旺,N,N
157,93,西安邮电大学,不响丸辣,6,601,-,-2,+1(61),-,+1(212),+1(45),+1(87),-,-,+3(11),-,+1(145),25%,Bronze,李浩宇,杨瑞宁,苏李涛,N,N
159,94,东北师范大学,希格斯玻色子,6,603,-,-1,+2(44),-,+3(251),+1(55),+1(70),-,-,+1(12),-,+1(111),33%,Bronze,吴越洋,张影,张沛毅,N,N
160,95,南京理工大学,猫猫头没有头,6,608,-,+1(263),+1(36),-,+1(144),+3(40),+1(71),-,-,+1(14),-,-4,25%,Bronze,何丰辰,张悦熠,王一萌,N,N
161,96,桂林电子科技大学,你若 AK 便是蓝天,6,612,-,-3,+1(38),-,+3(216),+1(44),+3(116),-,-,+1(18),-,+1(100),40%,Bronze,张安航,张蓝天,陈星宇,N,N
162,97,中国人民大学,吾等勠力同心，定能回天转日！,6,614,-,-,+2(28),-,+1(119),+1(37),+1(60),-,-,+1(10),-,+5(260),45%,Bronze,何东楠,向尔格,李泽北,N,N
163,98,安徽工程大学,刘华强买瓜,6,616,-,-4,+1(49),-,+1(162),+2(71),+1(98),-,-,+1(27),-,+1(189),14%,Bronze,程辉,蔡冯亮,鲍一凡,N,N
164,,武汉大学,毛毛虫果冻？,6,617,-,-2,+1(67),-,+1(169),+2(41),+2(115),-,-,+1(14),-,+3(131),40%,Bronze,林锟扬,王一言,许浩阳,N,N
165,99,成都信息工程大学,与美少女的贴贴日常,6,622,-,-4,+1(29),-,+5(153),+1(33),+3(63),-,-,+1(11),-,+2(193),53%,Bronze,徐世豪,沈祐正,王童,N,N
165,,浙大城市学院,逃跑太阳,6,622,-,-9,+1(23),-,+3(187),+1(15),+1(52),-,-,+1(10),-,+3(255),40%,Bronze,周思盈,李时博,纪国强,N,N
167,100,重庆大学,智力 9,6,625,-,-,+1(19),-,+3(199),+1(31),+1(59),-,-,+1(11),-,+2(246),33%,Bronze,于轩,葛轩铭,裘博航,N,N
168,,华中师范大学,樱吹雪,6,628,-4,-1,+3(40),-,+1(262),+1(19),+1(74),-,-,+1(6),-,+2(167),33%,Bronze,郭语,陈程,黄泓森,N,N
169,101,南京航空航天大学,愚人众第十二席,6,630,-,-14,+1(30),-,+1(92),+2(32),+1(186),-,-,+1(12),-,+5(178),45%,Bronze,刘昊文,周栎,谢雨奇,N,N
170,,浙江工商大学,猫猫二百五,6,638,-,-,+1(28),-,+8(257),+1(23),+1(58),-1,-2,+1(8),-1,+1(124),53%,Bronze,张殷杰,郭宇航,韩帅彪,N,N
171,102,广东外语外贸大学,满燕二神带一 fw,6,642,-,-,+1(27),-,+2(281),+1(38),+2(79),-,-,+1(15),-,+2(142),33%,Bronze,张艺冬,肖美满,蒋志燕,N,N
172,,北京师范大学,Solo,6,644,-,-5,+1(35),-,+6(228),+1(46),+1(59),-,-,+1(13),-,+1(163),45%,Bronze,徐悦萱,林靖轩,赵子豪,N,N
173,103,中北大学,Thornbush,6,646,-,-,+1(38),-,+2(182),+1(44),+1(79),-,-,+1(12),-,+2(251),25%,Bronze,冯奕铭,李吉祥,陈利鑫,N,N
174,104,湖南警察学院,挣脱牢笼,6,647,-,-7,+1(35),-,+4(222),+1(49),+1(74),-,-,+1(14),-,+1(193),33%,Bronze,王海,谭晓洋,龙俊宇,N,N
174,,南京航空航天大学,在 ICPC 中寻求 WA 并没有搞错什么,6,647,-,+2(286),+1(23),-,-2,+2(42),+1(79),-,-,+1(17),-,+1(160),25%,Bronze,岑嘉诚,李亚宁,钱品亦,N,N
176,,中国科学技术大学,闷声大发财,6,653,-,-4,+2(23),-,+1(70),+1(128),+2(172),-,-,+1(73),-,+1(147),25%,Bronze,吕思源,杨岳,许可,N,N
176,105,福建工程学院,黄昏之烬的二重奏,6,653,-1,-4,+1(24),-2,+4(176),+1(39),+1(104),-1,-1,+1(29),-2,+2(201),40%,Bronze,林凯锋,江鑫,肖含境,N,N
178,106,山东大学（威海）,先占个位置,6,659,-,-2,+1(41),-,+8(221),+1(31),+1(65),-,-,+1(16),-,+3(105),60%,Bronze,周润杰,曹津铭,陈格,N,N
178,106,广西大学,芝士雪豹,6,659,-,-,+1(35),-,+2(225),+1(25),+1(64),-,-,+1(18),-,+2(252),25%,Bronze,张一凡,王辰昊,黄连东,N,N
180,108,中国海洋大学,黑夜犬人 Pro,6,668,-24,-,+1(21),-,+1(118),+1(32),+2(68),-,-,+1(14),-,+6(295),50%,Bronze,张成玺,解正源,蹇浩航,N,N
181,,青岛大学,老番茄粉,6,670,-1,-1,+1(23),-1,+4(263),+2(47),+1(77),-1,-1,+2(32),-1,+1(128),45%,Bronze,李国良,李坤熹,董洋,N,N
182,,北京理工大学,Nardack,6,674,-,-1,+1(38),-,+2(203),+3(40),+1(81),-,-,+1(11),-,+1(241),33%,Bronze,孙瑞祥,王天泽,郑子帆,N,N
183,,浙江工业大学,ZJUT10,6,676,-,-,+1(28),-,+2(203),+1(36),+1(93),-,-,+1(14),-,+6(182),50%,Bronze,杨若童,苏雨钦,高钰峰,N,N
184,,浙江大学,燃烧的番茄,6,678,-,-4,+2(24),-,+3(121),+2(34),+4(151),-,-,+1(16),-,+2(172),57%,Bronze,俞枳枰,曹洋,赵龙庆,N,N
185,109,浙大宁波理工学院,球球给个银好不好,6,680,-,-9,+1(30),-,+2(264),+1(50),+1(72),-,-,+1(20),-,+2(204),25%,Bronze,方晨,程文浩,胡铭,N,N
186,110,盐城工学院,盐工二队,6,681,-,-,+1(79),-,+2(190),+2(30),+1(87),-,-,+2(15),-,+1(220),33%,Bronze,戴赟,汪鹏,胡远韬,N,N
187,111,华东师范大学,英文队名逆序队,6,683,-,-11,+1(16),-,+5(161),+1(22),+1(146),-,-,+1(8),-,+3(210),50%,Bronze,刘凯源,汪鼎尊,罗持,N,N
188,112,西安交通大学,n is not np,6,694,-,-1,+2(123),-1,+1(172),+2(22),+1(96),-,-,+1(13),-,+3(188),40%,Bronze,孙路,施劲松,朱晨曦,N,N
188,112,香港科技大学,Void,6,694,-,-2,+1(28),-,+2(233),+2(43),+5(115),-,-,+1(19),-,+1(136),50%,Bronze,段钦凯,王奕程,高之檬,N,N
190,114,湘潭大学,三只小猪,6,696,-,-,+1(25),-,+6(191),+1(36),+1(66),-,-,+1(13),-,+1(265),45%,Bronze,万康,何恺,曾庆鑫,N,N
191,115,暨南大学,速攻同调士,6,701,-1,-11,+1(30),-1,+3(131),+1(34),+1(65),-1,-1,+1(17),-1,+6(284),53%,Bronze,莫祖祥,许文豪,阮炜霖,N,N
192,,浙江工业大学,下岗再就业,6,707,-,-,+1(39),-,+1(164),+1(29),+2(110),-,-,+1(17),-,+3(288),33%,Bronze,吴雨轩,王浩名,陈尧,N,N
193,,东北大学秦皇岛分校,bug 都改队,6,708,-,-,+3(21),-,+2(86),+1(29),+1(100),-,-,+1(10),-,+8(262),62%,Bronze,冯鼎容,曹怡明,曹立菲,N,N
194,,青岛大学,队长考桂电落榜了,6,712,-1,-1,+1(16),-1,+3(282),+1(28),+1(94),-1,-1,+1(8),-1,+2(224),33%,Bronze,孙浩宇,布文东,李国聪,N,N
195,116,安阳工学院,法外狂徒张哲,6,715,-1,-1,+1(33),-1,+1(220),+1(41),+1(66),-1,-1,+1(25),-1,+4(270),33%,Bronze,张哲,贾智卓,鲍小佳,N,N
196,,河海大学,打了好多次西安站了,6,733,-1,-1,+2(86),-,+2(174),+1(25),+3(128),-,-,+1(18),-,+1(222),40%,Bronze,张星宇,王银霜,郭校廷,N,N
197,,长春理工大学,CUST 长三角校区,6,736,-,-,+1(30),-,+3(204),+1(35),+1(44),-,-,+1(13),-,+5(290),50%,Bronze,俞凯元,周璨,竺驰峰,N,N
197,117,华南师范大学,天江行者,6,736,-,-,+1(24),-,+3(221),+2(27),+1(53),-,-,+1(13),-,+3(298),45%,Bronze,吴清源,覃梓鑫,黄一肯,N,N
199,,河海大学,肉蛋葱鸡,6,737,-,-2,+1(20),-,+3(212),+1(29),+2(100),-,-,+1(12),-,+3(264),45%,Bronze,刘秉鑫,栾昊霖,陈奕涵,N,N
200,118,南昌理工学院,啾咪,6,748,-,-,+2(35),-,+8(245),+2(45),+1(62),-,-,+1(13),-,+2(148),62%,Bronze,刘谦,李菁,莫浩东,N,N
200,,杭州师范大学,抹茶不拿铁,6,748,-,-,+1(60),-,+1(263),+1(57),+1(103),-,-,+2(20),-,+2(205),25%,Bronze,孙于晴,李齐,陈洁,N,N
202,,南京邮电大学,今天跑完 2000 米吗,6,749,-,-,+1(33),-,+2(208),+1(51),+1(85),-,-,+1(16),-,+3(296),33%,Bronze,吴政,肖鸿,陆晓琦,N,N
203,,北京航空航天大学,题题都队,6,752,-,+1(298),+1(66),-,+2(198),+1(23),+1(119),-,-,+1(28),-,-5,14%,Bronze,张飘,王梓源,闫佳豪,N,N
204,,广东工业大学,遇到问题先喝茶,6,761,-,-,+1(26),-,+4(216),+2(45),+2(100),-,-,+1(16),-,+1(258),45%,Bronze,吴乐彬,陈奕杏,马煜彬,N,N
205,,湖南警察学院,猪猪侠,6,767,-,-,+2(49),-,+3(290),+1(55),+1(114),-,-,+1(13),-,+1(186),33%,Bronze,稂昕鑫,许慧兰,郭远师,N,N
206,119,长沙理工大学,老年混子队,6,769,-,-3,+1(47),-,+5(226),+2(44),+1(62),-,-,+1(11),-,+1(279),45%,Bronze,刘康为,贺达,陈彬彬,N,N
207,,浙江科技学院,局外人,6,770,-,-1,+1(36),-,+2(195),+1(40),+1(87),-,-,+3(27),-,+5(245),53%,Bronze,史润培,蒋贤潇,赵家城,N,N
208,,西北大学,如果 ACM 需要鼓励的话,6,773,-,-,+1(49),-,+2(261),+1(55),+1(80),-,-,+1(16),-,+5(212),45%,Bronze,刘锦堃,李国航,田朕铭,N,N
209,120,西北工业大学,随便吧啥也不会,6,777,-,-2,+1(42),-,+3(249),+1(31),+1(132),-,-,+1(19),-,+4(204),45%,Bronze,王一帆,罗强,马志翔,N,N
210,,东南大学,积分忘加 C,6,786,-,-2,+1(83),-,+1(231),+1(30),+1(73),-,-,+1(16),-,+8(213),53%,Bronze,张家展,翁定楷,赖以政,N,N
211,121,东北农业大学,转生成为异世界泥头车司机～关于把勇者创回地球的事，然后与变成美少女的队友一起冒险,6,788,-2,-4,+1(41),-,+2(170),+1(78),+2(158),-,-,+1(8),-,+3(253),40%,Honorable,纪昱彤,谢客渊,陈优,N,N
212,,浙江师范大学,你不是一个人,6,793,-,-5,+1(58),-,+1(162),+1(41),+4(116),-,-,+1(13),-,+6(243),57%,Honorable,丁逸飞,郑依佳,陈骏鹏,N,N
213,,同济大学,同寄,6,803,-,-,+2(54),-,+4(249),+1(31),+1(86),-,-,+1(16),-,+2(267),45%,Honorable,任喆轩,朱申哲,栾佳浩,N,N
214,,浙江师范大学,未定义的奇妙组织,6,816,-,-,+1(24),-,+2(178),+2(40),+3(153),-,-,+1(12),-,+6(229),60%,Honorable,兰博望,张嘉斌,童培峻,N,N
215,,兰州大学,我真不会取名啊,6,824,-,+6(242),+2(70),-,+4(158),+3(44),+1(77),-,-,+1(13),-,-,64%,Honorable,张恩彬,曾志亮,连浩鸣,N,N
216,,北京邮电大学,未响应,6,826,-,-,+1(59),-,+6(274),+1(26),+1(131),-,-,+1(12),-,+1(224),45%,Honorable,杨云逸,王鸣谦,许铎,N,N
217,,河北工业大学,先打他一块铁,6,835,-,-,+1(38),-,+5(228),+1(43),+2(161),-,-,+1(22),-,+1(243),45%,Honorable,张卓立,葛子赫,贾旭明,N,N
218,122,江西理工大学,起名真费劲,6,843,-,-,+1(15),-,+1(234),+2(28),+2(87),-,-,+1(8),-,+8(291),60%,Honorable,冯奇山,吴旭阳,王际,N,N
219,123,西北农林科技大学,下次一定换个二次元队名,6,848,-,-,+1(24),-,+3(189),+2(12),+10(210),-,-,+1(18),-,+2(135),68%,Honorable,王明栋,蔡祺峰,龚城圩,N,N
220,124,东北电力大学,每道题都能用二分做,6,871,-,-,+1(57),-,+1(201),+2(74),+1(88),-,-,+1(11),-,+8(280),57%,Honorable,李贵祥,郑建畅,陈黄洋,N,N
221,125,北京化工大学,全网认证唯一菜狗,6,874,-,-1,+3(97),-,+5(209),+1(25),+1(131),-,-,+1(11),-,+2(261),53%,Honorable,付晓,徐文博,薛墨寒,N,N
222,126,山东女子学院,哆啦 A 梦的魔法口袋,6,914,-,-1,+1(33),-,+10(197),+2(73),+3(49),-,-,+1(57),-,+1(265),66%,Honorable,张俊涛,朱赟,王振东,N,N
223,127,天津理工大学,打铁还需自身硬,6,926,-,+4(290),+1(22),-,+10(206),+2(40),+1(52),-,-,+2(36),-,-27,70%,Honorable,向东,罗耀宇,陈佳博,N,N
224,,广西大学,火箭队,6,935,-,-2,+2(28),-,+1(109),+1(32),+2(183),-,-,+1(45),-,+11(298),66%,Honorable,张可,武成志,陈松盛,N,N
225,,湖北工业大学,哈哈哈,6,942,-,-,+1(55),-,+9(299),+1(64),+1(84),-,-,+1(20),-,+2(240),60%,Honorable,喻洋,曾鼎仁,杨玥,N,N
226,,东北农业大学,以下队名无效 405 BAD WAY,6,949,-,-,+1(18),-,+6(271),+1(26),+1(62),-,-,+1(12),-,+10(280),70%,Honorable,刘纳川,朱秀滨,黄铎,N,N
227,128,南昌大学,int mian,6,986,-,-1,+3(147),-,+3(210),+1(52),+3(143),-,-,+1(10),-,+2(284),53%,Honorable,彭延飞,李长乐,樊能,N,N
228,129,乐山师范学院,代码全敲队,6,1011,-,-,+4(110),-,+2(185),+2(81),+1(128),-,-,+1(14),-,+7(273),64%,Honorable,吴志杰,唐杨,苏海东,N,N
229,130,深圳技术大学,鹦鹉螺,5,254,-,-,+1(22),-,+1(118),+1(32),+1(69),-,-,+1(13),-,-7,0%,Honorable,吴泰维,曾熙柔,陈锦聪,N,N
230,131,中国计量大学,fufu 吃大米,5,297,-,-,+1(27),-,-2,+1(31),+2(79),-,-,+1(12),-,+1(128),16%,Honorable,刘昕,裴君辉,金晖,N,N
231,,浙江农林大学,金牌菜鸟,5,309,-,-,+1(23),-,+1(128),+2(38),+1(84),-,-,+1(16),-,-10,16%,Honorable,叶露仁,姜逸辉,陈昱帆,N,N
232,,台州学院,越人歌,5,327,-2,-,+2(37),-,+1(133),+1(22),+2(70),-,-,+1(25),-,-8,28%,Honorable,任敏浩,关海圳,徐安格,N,N
233,,南开大学,啊对__对对队,5,329,-,-,+1(29),-,+2(153),+1(43),+1(70),-,-,+1(14),-,-2,16%,Honorable,刘诺铭,罗宇,董昱华,N,N
234,,苏州大学,驯服流星,5,344,-,-,+1(8),-,+1(131),+2(28),+1(140),-,-,+1(17),-,-1,16%,Honorable,杨哲元,柯骅,陈夫瑞,N,N
235,132,河南大学,xzgg 爱上我,5,354,-,-,+2(22),-,+2(181),+1(31),+1(69),-,-,+1(11),-,-6,28%,Honorable,张浩东,王子轩,许壮,N,N
236,,大连理工大学,我要做纳西妲的编译器,5,356,-1,-,+1(22),-,-10,+1(33),+2(81),-,-,+1(9),-2,+2(171),28%,Honorable,张思凡,袁振,闫希良,N,N
237,133,重庆邮电大学,炮灰小队,5,357,-,-,+1(26),-,+2(161),+2(38),+2(62),-,-,+1(10),-,-8,37%,Honorable,姜星洲,李宣龙,李豪,N,N
238,134,哈尔滨理工大学,哈理工 11 队,5,367,-,-,+1(24),-,+3(207),+1(35),+1(51),-,-,+1(10),-,-1,28%,Honorable,冯旭,祝浩博,陈丁,N,N
239,,哈尔滨工程大学,HH 后援同好会,5,370,-,-1,+1(24),-,+2(184),+1(42),+1(88),-,-,+1(12),-,-1,16%,Honorable,刘书羽,李林轩,胡晗,N,N
240,,华南农业大学,过不了四级,5,374,-,-,+1(17),-,+1(157),+2(38),+2(98),-,-,+1(24),-,-13,28%,Honorable,郭翀,陈思哲,黄浩良,N,N
241,,山东大学（威海）,灵活打铁,5,381,-,-2,+1(28),-,+1(224),+1(36),+1(70),-,-,+1(23),-,-10,0%,Honorable,孙普华,张胜熙,朱浩天,N,N
242,135,中原工学院,wa 了，但没完全 wa,5,392,-,-1,+1(19),-,+3(200),+2(32),+1(69),-,-,+1(12),-,-1,37%,Honorable,叶宇恒,程远哲,蔡敬斌,N,N
243,136,齐鲁工业大学（山东省科学院）,济你太美,5,394,-,-,+1(48),-,+1(184),+1(51),+1(86),-,-,+1(25),-,-7,0%,Honorable,张宇豪,张席畅,李昊坤,N,N
244,137,上海海洋大学,海绵宝宝,5,408,-,-,+1(48),-,+3(190),+1(40),+1(68),-,-,+1(22),-,-2,28%,Honorable,史沐青,谢澄,谭志良,N,N
245,138,江南大学,无 B 树怎么只剩 WA 了,5,418,-,-,+1(34),-,+3(236),+1(30),+1(66),-,-,+1(12),-,-2,28%,Honorable,林腾,谭懿唯,魏晨宇,N,N
246,,湖南科技大学,晨曦,5,419,-,-,+1(21),-,+2(234),+1(28),+1(106),-,-,+1(10),-,-6,16%,Honorable,曾改,李程仁,黄宇轩,N,N
246,139,山东工商学院,优雅,5,419,-,-,+1(32),-,+2(241),+1(40),+1(67),-,-,+1(19),-,-2,16%,Honorable,刘骋羽,崔文贺,廖银,N,N
248,,南京邮电大学,无限远点,5,429,-,-,+4(66),-,+1(166),+1(31),+1(90),-,-,+1(16),-,-6,37%,Honorable,向韫韬,蒋明辉,蔡永吉,N,N
249,,郑州轻工业大学,莫比乌斯反演队友,5,433,-,-,+1(46),-,-,+2(27),+1(76),-,-,+1(13),-,+3(211),37%,Honorable,刘泽辰,赵永斌,郑皓阳,N,N
250,,中南民族大学,回响,5,437,-,-,+1(45),-,+5(150),+1(23),+1(106),-,-,+2(13),-,-3,50%,Honorable,王创锐,谢瀚萱,陈珍,N,N
250,140,青岛科技大学,与或非,5,437,-,-,+1(39),-,+1(248),+1(52),+1(82),-,-,+1(16),-,-4,0%,Honorable,晋学锐,林海,陈德山,N,N
252,,西北工业大学,翱翔西瓜队,5,438,-,-1,+1(42),-,+3(214),+2(32),+1(77),-,-,+1(13),-,-3,37%,Honorable,吴茂佳,陈仕轩,高近书,N,N
253,,浙江农林大学,两眼花花乱蛙一通,5,454,-,-,+1(26),-,+3(268),+1(36),+1(70),-,-,+1(14),-,-4,28%,Honorable,官洪林,沈杨阳,龚文强,N,N
254,141,合肥工业大学宣城校区,与移风易俗者同行,5,461,-,-,+1(22),-,-,+1(53),+1(76),-,-,+1(40),-,+2(250),16%,Honorable,张植淇,田时成,陈若欣,N,N
255,142,香港中文大学（深圳）,别人 AK 我们只因,5,463,-,-,+1(57),-,-7,+3(34),+1(115),-,-,+1(45),-,+1(172),28%,Honorable,刘戴乐,康泽煊,邵辰航,N,N
256,143,绍兴文理学院,RE:从爆零开始的 ACM 生活,5,468,-,-,+1(61),-,+3(194),+2(40),+1(96),-,-,+1(17),-,-1,37%,Honorable,吴慧一,应贤儿,李柯叡,N,N
257,144,太原理工大学,朝闻道,5,477,-,-,+2(43),-,+4(232),+1(41),+1(76),-,-,+1(5),-,-5,44%,Honorable,何玉斌,岳文颂,范之毓,N,N
258,145,西安理工大学,神秘的力量,5,479,-2,-2,+1(19),-2,+2(208),+2(33),+2(149),-2,-2,+1(10),-2,-3,37%,Honorable,王颢焓,胡沛玮,马铭源,N,N
259,,深圳大学,SZU_YanranLee,5,481,-,-,+1(53),-,+3(275),+1(25),+1(74),-,-,+1(14),-,-4,28%,Honorable,许彦婷,郑杨,陈敏涵,N,N
260,,山东大学,三人行,5,484,-,-,+4(49),-,-5,+1(25),+1(79),-,-,+1(14),-,+1(257),37%,Honorable,张文静,王博,陈萌,N,N
261,,河南大学,零异事件,5,486,-1,-1,+1(24),-1,-13,+1(39),+2(81),-1,-1,+2(42),-2,+2(240),37%,Honorable,李金刚,毛子豪,程崇正,N,N
262,,郑州轻工业大学,终而复始,5,487,-1,-,+1(38),-,-2,+2(30),+1(80),-,-,+1(9),-,+2(290),28%,Honorable,刘滨豪,刘赵东,谷帅昊,N,N
263,,华南师范大学,扶戈威武士,5,497,-,-,+1(38),-,-12,+1(23),+2(92),-,-,+1(15),-,+5(229),50%,Honorable,甘一伟,郑子荣,陆锦浩,N,N
264,,杭州师范大学,满眼皆 AC,5,498,-,-,+1(29),-,+6(224),+2(35),+1(82),-,-,+1(8),-,-4,54%,Honorable,潘苏雄,祝胜毅,郑奇鸿,N,N
265,,湖南工业大学,求求给我们块铁牌吧,5,499,-,-,+2(35),-,+4(162),+1(45),+3(124),-,-,+1(13),-,-,54%,Honorable,唐子俊,阳彝霖,陈锦硕,N,N
266,,合肥工业大学宣城校区,丘比特帮帮嘉文,5,500,-,-,+1(26),-,+2(270),+3(54),+1(75),-,-,+1(15),-,-4,37%,Honorable,吴嘉文,张亦弛,陆俊安,N,N
267,146,西南交通大学,站着赚钱 - 幼儿园版,5,505,-,-,+1(37),-,+2(174),+2(49),+4(129),-,-,+1(16),-,-2,50%,Honorable,王翔宇,陈越,雷雨豪,N,N
268,147,湖南理工学院,luckin,5,508,-,-,+1(79),-,+2(249),+1(32),+1(114),-,-,+1(14),-,-,16%,Honorable,梁韧,王斯威,陈睿轩,N,N
269,148,河北经贸大学,重启征途,5,515,-,-,+1(45),-,+2(212),+1(56),+3(98),-,-,+2(24),-,-6,44%,Honorable,孙雨桐,王旭东,田少奇,N,N
270,,西安电子科技大学,剑指艾斯十二,5,526,-,-,+3(48),-,+2(135),+1(51),+2(189),-,-,+1(23),-,-8,44%,Honorable,吴海怿,王昱晨,许志鹏,N,N
270,,华东师范大学,KFC,5,526,-,-,+2(97),-,+1(216),+1(56),+1(110),-,-,+1(27),-,-3,16%,Honorable,姜朝顺,孙书航,贺佳欣,N,N
272,,南京理工大学,头猫猫猫头,5,536,-,-1,+1(44),-,+5(286),+1(20),+1(81),-,-,+1(25),-,-2,44%,Honorable,张行,王俊鑫,邓谢喆,N,N
273,149,西南科技大学,满目霜花云弄雪,5,547,-,-,+2(48),-,+4(217),+2(23),+2(123),-,-,+1(16),-,-4,54%,Honorable,毛宝文,纪佳宇,陆承长,N,N
274,150,成都理工大学,无问,5,550,-,-,+1(26),-,+3(291),+1(35),+2(129),-,-,+1(9),-,-,37%,Honorable,廖智,段瑞涛,陈嘉怡,N,N
275,151,江西理工大学南昌校区,边缘行者,5,552,-,-,+3(43),-,-7,+1(33),+1(67),-,-,+1(14),-,+7(235),61%,Honorable,王得懿,苏奕昕,高薇娟,N,N
276,,重庆大学,康康你的队名,5,553,-,-,+1(53),-,+4(257),+2(63),+1(83),-,-,+1(17),-,-5,44%,Honorable,刘怡鹏,肖才银,黄康,N,N
277,,西北农林科技大学,三 A 大坐,5,562,-,-,+1(36),-,+6(182),+2(47),+1(160),-,-,+1(17),-,-8,54%,Honorable,单豪杰,林羽泽,祝涛,N,N
278,152,武汉纺织大学,猫猫虫莓问题,5,567,-,-,+2(48),-,+2(192),+1(56),+1(220),-,-,+1(11),-,-2,28%,Honorable,曹翔宇,祝津一,陆挺,N,N
279,153,河南农业大学,Indigo,5,571,-,-,+1(17),-,+5(233),+1(23),+6(108),-,-,+1(10),-,-6,64%,Honorable,李治毅,贾懿,闫亚鑫,N,N
280,,香港中文大学（深圳）,ICPC 摆大烂,5,574,-,-,+1(76),-,+2(293),+1(36),+1(124),-,-,+1(25),-,-7,16%,Honorable,程思浩,金德容,陈建文,N,N
281,,重庆邮电大学,抽根华子,5,578,-,-,+1(38),-,+4(277),+1(82),+1(103),-,-,+1(18),-,-2,37%,Honorable,汪子涵,王俊凌,陈金文,N,N
282,154,厦门理工学院,斯密马赛队,5,580,-,-,+1(111),-,+2(217),+1(41),+1(178),-,-,+1(13),-,-1,16%,Honorable,钟增贵,陈明顺,陈礼望,N,N
283,,哈尔滨商业大学,先行者 2 队,5,582,-,-,+2(27),-,+8(253),+1(34),+2(52),-,-,+2(16),-,-1,66%,Honorable,周家宝,宋辉鹏,王彬彬,N,N
284,,华东师范大学,SEI3,5,586,-,-2,+3(199),-,+1(170),+2(44),+1(97),-,-,+1(16),-,-4,37%,Honorable,乔若奕,曹博,梅子健,N,N
284,155,平顶山学院,重生之 AC 不出来 Math 题使人发懵,5,586,-,-,+1(33),-,+5(275),+2(52),+1(111),-,-,+1(15),-,-1,50%,Honorable,冯梦星,朱梦飞,胡庆博,N,N
286,156,北京林业大学,北林附小二队,5,602,-,-,+2(123),-,-,+2(27),+1(140),-,-,+2(11),-,+2(221),44%,Honorable,梅涵,胡义,黄硕,N,N
287,,北京师范大学,万恶木馬,5,621,-,-,+5(50),-,+2(247),+1(63),+1(91),-,-,+1(70),-,-1,50%,Honorable,温怡健,贺耀仪,高延子鹏,N,N
288,,上海大学,我都可以！,5,626,-,-,+1(89),-,+2(251),+3(69),+1(129),-,-,+1(28),-,-3,37%,Honorable,吕定巍,周济宸,陈柳莹,N,N
289,,华南理工大学,我的 AC 方法果然有问题,5,627,-,-,+3(208),-,-1,+1(31),+1(162),-,-,+1(15),-,+1(171),28%,Honorable,尹广皓,张闻杰,谢锴东,N,N
290,,乐山师范学院,乐山大佛保佑我,5,628,-,-,+1(30),-,+5(290),+3(61),+2(93),-,-,+1(14),-,-,58%,Honorable,吕孟霖,周猛,李汶涛,N,N
291,157,河北大学,河北大学云帆一队,5,629,-,-,+1(20),-,+4(246),+3(32),+6(124),-,-,+1(7),-,-6,66%,Honorable,刘哲轩,王旭,赵润朔,N,N
292,158,上海电机学院,队友单身换牌子,5,630,-,-,+2(68),-,+1(244),+2(77),+3(151),-,-,+1(10),-,-3,44%,Honorable,张德辉,王宁,罗慧康,N,N
293,159,上海财经大学,不超时,5,631,-,-,+3(99),-,+4(159),+3(69),+1(132),-,-,+1(32),-,-1,58%,Honorable,史靖玮,奚哲珺,陈嘉,N,N
