Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,Dirt,Medal,Member1,Member2,Member3,Unofficial,Girl
50,34,浙江工业大学,才思泉涌,7,578,-1,+2(195),+1(43),-1,+1(115),+2(35),+1(83),-,-1,+1(14),-,+1(53),22%,Silver,张盛,蔡凯玮,黄陈兆鋆,N,N
51,35,济南大学,樱之重生,7,585,-2,+3(298),+1(16),-,+1(87),+1(23),+2(38),-,-,+1(7),-,+1(56),30%,Silver,刘延松,张益铭,龚奕天,N,N
52,36,哈尔滨工业大学,上海紅茶館,7,588,-1,+2(225),+1(23),-,+1(178),+1(19),+1(42),-,-,+1(8),-,+1(73),12%,Silver,张子扬,曲天元,赵育恒,N,N
53,37,武汉大学,放学后茶会,7,594,-3,+4(251),+1(31),-,+1(96),+1(41),+1(12),-,-,+2(21),-,+1(62),36%,Silver,于丰林,张弛,郑寒友,N,N
54,,哈尔滨工业大学,明日夜空哨戒班,7,595,-1,+3(182),+2(63),-,+1(57),+2(30),+1(78),-,-,+1(11),-,+1(94),36%,Silver,徐琬,王子恺,王梓尧,N,N
55,38,山东理工大学,皮卡 Wa,7,604,-2,+1(201),+1(33),-3,+1(118),+3(35),+2(67),-,-,+1(13),-,+1(77),30%,Silver,徐董鑫,马健文,马润东,N,N
56,,中山大学,中山大学 - 完结撒花,7,605,-12,+1(179),+1(45),-,+4(116),+1(58),+2(42),-,-,+1(15),-,+1(70),36%,Silver,叶汇亘,梁励,牛彦栋,N,N
57,,北京理工大学,去马车整点挂件,7,619,-1,+2(215),+1(44),-,+3(116),+2(43),+1(78),-,-,+1(8),-,+1(35),36%,Silver,于瀚文,孙嘉珺,焦鹏屹,N,N
58,,武汉理工大学,不会计数怎么办,7,620,-,+7(194),+1(7),-,+2(64),+2(39),+1(54),-,-,+1(13),-,+1(89),53%,Silver,奚兆阳,徐亚萌,罗越,N,N
59,39,湖南科技大学,残夜将明,7,626,-,+2(233),+1(26),-,+2(151),+1(18),+1(70),-,-,+1(8),-,+1(80),22%,Silver,傅嘉,关鑫,秦豪远,N,N
59,,南京大学,圆狗后援团,7,626,+1(233),-3,+1(25),-,+2(122),+1(20),+1(110),-,-,+1(9),-,+2(67),22%,Silver,孙源泽,陈佳庚,陈思翔,N,N
61,40,江西师范大学,ero automaton,7,627,-5,+2(170),+1(22),-2,+1(109),+1(27),+1(44),-,-,+1(15),-,+5(140),41%,Silver,张天福,陈哲,颜玮琦,N,N
62,,南京大学,菜茎合作社,7,637,-,+9(189),+1(20),-1,+1(95),+1(11),+1(79),-,-,+1(35),-,+1(48),53%,Silver,柴浩天,贺柄毓,陈荣锴,N,N
63,41,哈尔滨商业大学,先行者 1 队,7,640,+1(201),-9,+1(19),-,+6(133),+2(37),+1(47),-,-,+1(7),-,+1(76),46%,Silver,王梓镔,翁勇辉,葛钦凡,N,N
64,,厦门大学,恋剖分剖恋,7,641,-,+1(269),+1(12),-,+1(134),+1(17),+1(48),-,-,+1(13),-,+2(128),12%,Silver,杨鑫,郭承辉,陈一鸣,N,N
65,,中南大学,摸鱼自动机,7,644,-,+1(200),+1(28),-,+2(150),+2(20),+2(60),-,-,+1(10),-,+1(116),30%,Silver,周霄羽,张皓然,黄道煜,N,N
