Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
29,,北京大学,现充队友太多了！,7,984,+3(13),+7(181),-,-6,+2(55),+2(190),-,+2(115),-1,-,+2(51),-,+4(79),68%,Gold,彭乙桐,杨卓凡,谈一鸣,张勤健,N,N
30,,中山大学,中山大学_无限天堂,7,992,+1(8),+8(221),-,-,+6(159),+2(138),-,+3(46),-,-,+1(14),-,+2(86),69%,Gold,李昊洲,涂博皓,邱恺铭,万海,N,N
31,,华中科技大学,和平讨论不带节奏,7,1020,+1(13),+4(295),-,-,+1(116),+2(196),-,+1(134),-,-,+2(34),-,+3(92),50%,Gold,冯育硕,杨家祯,聂卓然,何琨,N,N
32,,北京航空航天大学,早知道，还是可口可乐,7,1075,+4(33),+3(243),-,-,+3(114),+1(268),-,+1(126),-,-,+1(28),-,+2(103),53%,Gold,刘昊言,李墨之,杭洋,宋友,N,N
33,25,杭州电子科技大学,杭电0队,7,1260,+1(25),+3(256),-,-,+1(96),+3(301),-,+3(154),-,-,+1(11),-,+7(177),63%,Gold,万扬,林炜钦,梅瑞贤,刘春英,N,N
34,,北京航空航天大学,会挽雕弓如满月,7,1271,+1(15),+2(233),-,-,+3(135),+4(273),-,+1(158),-,-,+1(30),-,+8(167),65%,Gold,傅可树,梁钧著,马一,宋友,N,N
35,26,西南大学,AutoC++,7,1303,+2(38),+3(251),-,-,+2(130),+7(290),-,+2(113),-,-,+3(60),-,+2(141),66%,Gold,徐畅,蒋天逸,马博涵,韩先锋,N,N
36,27,香港城市大学,初心,6,470,+1(11),-6,-,-,+1(33),+2(140),-,+1(48),-,-,+1(18),-,+3(160),33%,Gold,燕雅超,郑上锟,高义雄,黄骏,N,N
37,,南京大学,我打铁牌？真的假的？,6,495,+1(9),-13,-,-,+1(84),+2(156),-,+1(105),-,-,+1(30),-,+2(71),25%,Gold,张浩淼,谭泽晖,黄文睿,马骏,N,N
38,28,中国科学技术大学,蓝桥春雪,6,552,+1(13),-,-,-,+1(67),+1(153),-,+1(89),-,-11,+1(19),-,+3(171),25%,Silver,冯正桦,李俊辰,邵晓玮,孙广中,N,N
39,29,天津大学,锐刻没有电,6,605,+1(18),-8,-,-,+1(50),+2(202),-,+3(89),-,-,+1(26),-,+3(120),45%,Silver,范艳青,邓锦源,黄涛,于瑞国,N,N
40,30,同济大学,于离别之朝束起约定之花,6,686,+1(14),+1(98),-,-,+2(178),-13,-,+1(67),-,-,+3(36),-,+4(173),50%,Silver,刘诗奇,吴晶承,靳嘉成,叶晨,N,N
40,30,吉林大学,断桥雪,6,686,+2(39),-,-,-,+1(129),+2(237),-,+2(114),-,-,+1(36),-,+1(71),33%,Silver,周宇恒,陈鹏宇,黄昌盛,刘淼,N,N
42,32,武汉理工大学, 突破极限,6,718,+1(19),-1,-,-,+2(61),+1(176),-,+4(180),-,-,+1(27),-,+3(135),50%,Silver,侯哲昊,朱振傲,朱选文,赵冬冬,N,N
43,33,华东师范大学,假飞了！,6,720,+1(20),-6,-,-,+2(84),+2(190),-,+2(146),-,-,+3(40),-,+2(120),50%,Silver,冯中信,姜朝顺,陈赵润,杜育根,N,N
44,34,西北工业大学,#N/A,6,729,+2(14),-,-,-,+2(89),+1(232),-,+1(118),-,-5,+1(20),-,+5(136),50%,Silver,张天翔,牛马思元,王景珩,刘君瑞,N,N
45,35,浙大城市学院,扫雷爱好者,6,730,+1(17),-,-,-,+1(47),+5(268),-,+3(103),-,-,+1(26),-,+2(129),53%,Silver,沈墨昕,褚锦威,陈至之,柯海丰,N,N
46,36,西安交通大学,正在评测中,6,740,+1(21),-6,-,-,+1(80),+2(270),-,+2(93),-,-,+1(42),-,+3(154),40%,Silver,吴夏天,王博想,邱宇成,王龙翔,N,N
47,,中山大学,中山大学_可燃乌龙茶,6,743,+1(22),-2,-,-,+2(112),+1(218),-,+5(174),-,-,+1(33),-,+1(84),45%,Silver,何宇扬,罗杰,蔡可忻,林瀚,N,N
48,,北京理工大学,打饿了吃隔壁桌,6,759,+1(11),-,-,-,+1(53),+4(217),-,+5(114),-,-,+1(17),-,+5(127),64%,Silver,彭田栩,牟星宇,陈鹏宇,史继筠,N,N
49,,同济大学,仙银,6,763,+1(18),-,-,-,+2(185),+6(290),-,+1(82),-,-,+1(22),-,+1(46),50%,Silver,李堂辉,郎若谷,高胜寒,叶晨,N,N
50,37,华南理工大学,打xcpc不喊我,6,767,+2(17),-3,-,-,+1(111),+2(280),-,+3(92),-,-,+1(20),-,+2(147),45%,Silver,吕浩天,徐睿,梁立州,冼楚华,N,N
51,38,北京邮电大学,好好想想,6,773,+1(31),+1(292),-,-,+1(102),-12,-,+2(141),-,-,+2(16),-,+2(131),33%,Silver,司睿洋,尹昱钦,张泽文,杨亚,N,N
52,,南京大学,嚼菜根队,6,784,+1(12),-,-,-,+3(141),+5(258),-,+2(135),-,-1,+1(22),-,+1(76),53%,Silver,卢泰烨,王意诚,荣恒嬉,马骏,N,N
53,39,南京邮电大学,菠萝好吃,6,793,+1(21),-,-,-,+4(218),+1(211),-,+1(66),-,-,+3(37),-,+1(140),45%,Silver,向韫韬,蒋明辉,蔡振川,陈志,N,N
54,40,浙江工商大学,空花阳焰,6,795,+3(38),-1,-,-,+3(94),+1(223),-,+2(137),-,-1,+1(31),-,+3(132),53%,Silver,徐贤涛,王哲,薛强,胡毓励,N,N
55,41,哈尔滨工业大学,风灵玉秀,6,814,+2(26),-5,-,-,+2(67),+1(187),-,+4(154),-,-,+3(54),-,+3(146),60%,Silver,郭昕旸,金智威,陈云龙,赵文博,N,N
56,,北京邮电大学,对了吗？如队,6,825,+1(18),-,-,-,+1(89),+3(299),-,+2(81),-,-,+1(32),-,+3(206),45%,Silver,徐衍巅,曾行周,钱文韬,杨亚,N,N
57,42,华南师范大学,A了这题就去吃麦旋风,6,831,+3(37),-,-,-,+1(75),+2(252),-,+3(176),-,-2,+1(31),-,+3(120),53%,Silver,古嘉诚,袁浩轩,黄家谦,梁军,N,N
58,,武汉理工大学,打一辈子出你字母能转生为AC高手吗,6,847,+1(15),-,-,-,+4(94),+1(246),-,+1(187),-5,-,+1(39),-,+4(146),50%,Silver,刘承明,胡晨煊,陶释然,赵冬冬,N,N
59,,西安交通大学,未铭记何谈淡忘,6,848,+1(13),-4,-,-,+3(177),+1(245),-,+7(150),-,-1,+1(22),-,+1(81),57%,Silver,方亦晨,陈光耀,陈弘烜,王龙翔,N,N
60,,电子科技大学,UESTC_诶多诶多呐呐呐,6,859,+1(16),-,-,-,+5(225),+1(180),-,+2(98),-,-,+2(30),-,+1(190),50%,Silver,包航,覃子睿,雷霖,汪小平,N,N
61,,浙江工业大学,今亦求金,6,861,+1(28),-,-,-,+3(185),+1(247),-,+1(176),-,-,+3(36),-,+1(109),40%,Silver,周泳良,罗一鸣,闵士轩,侯向辉,N,N
62,43,南开大学,粥畜除三害,6,867,+1(21),-,-,-,+1(121),+5(275),-,+2(161),-,-,+1(28),-,+2(141),50%,Silver,刘砚桐,李佳璞,章壹程,刘晓光,N,N
63,44,南昌大学,我从来不觉得打ICPC开心过,6,889,+1(16),-,-,-,+3(181),+1(222),-,+1(113),-,-,+1(29),-,+1(288),25%,Silver,李书羽,王睿,肖贤烨,于海雯,N,N
