Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,A,B,C,D,E,F,G,H,I,J,K,L
205,武汉工程大学,我的队友不可能那么可爱,2,376,Honorable,刘一麟,刘子涵,陈杰,+1(45),+10(151),,-3,,,,,,,,
206,吉林建筑大学,永不言弃,2,412,Honorable,郭宁,董金沅,张宇,+5(165),+4(107),,,-3,,,,,,,
207,东北师范大学,三线程,2,425,Honorable,许征航,田时雨,赵梦宇,-8,+3(121),+4(204),,-2,,,,,,,
208,哈尔滨工程大学,教你说骚话,2,427,Honorable,胡立超,唐彦昭,方福鑫,+3(87),-6,-1,+5(220),,,,,,,,
209,中南民族大学,慢一点,2,435,Honorable,张佳,石雷鸣,李诗琪,+1(91),+8(204),,,,,,,,,,
210,东北电力大学,喵++,2,451,Honorable,马晨骁,李庚,孙世霖,+6(178),+1(173),-1,,,,,,,,,
211,长春大学,FBI WARNING,2,464,Honorable,李汉奇,李玉飞,郑兴旺,+3(133),+6(191),,,,,,,,,,
212,长春理工大学,幻想乡乐园,2,471,Honorable,陈俊超,付志强,赵珏,+8(144),+3(147),-1,,,,,,,,,
213,牡丹江师范学院,花里胡哨,2,524,Honorable,任磊,王晓科,汤磊锴,+5(161),+6(183),-4,,,,,,,,,
214,哈尔滨华德学院,屮艸芔茻,2,527,Honorable,罗峥,谭浩文,刘伟,+8(221),+4(106),,,,,,,,,,
215,中北大学,123找朋友,1,62,Honorable,涂雅迪,李龙香,张旭,-2,+1(62),-2,,,,,-1,,,,
216,吉林财经大学,恶魔,1,71,Honorable,张倩,仇静博,朱静茹,+2(51),-11,-3,,,,,,,,,
217,南昌理工学院,月亮湖,1,77,Honorable,何润昌,李超,余金祥,-8,+1(77),-3,-2,,,,,,,,
218,长春师范大学,超越,1,107,Honorable,孙彬彬,任明强,王宏月,-12,+1(107),,,,,,,,,,
219,厦门理工学院,我们中文队名是啥来着,1,163,Honorable,张泽韬,张峰,陈加鑫,+5(83),-7,-2,,,,,,,,,
220,通化师范学院,通师1队,1,191,Honorable,蒋彪,林紫强,张金宇,+3(151),-2,,,,,,,,,,
221,西北民族大学,西北民大肝肝队,1,237,Honorable,熊梦彪,吕琳涵,梁恒滔,-8,+4(177),-2,,,,,,,,,
222,哈尔滨华德学院,为中华之崛起而敲代码但敲不出来想吃键盘,1,392,Honorable,孙文博,杨宇,陈钱,-3,+7(272),,,,,,,,,,
223,大庆师范学院,茕茕孑立,0,0,Honorable,,,,-2,,,,,,,,,,,
