Rank,School Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Unofficial,Girl,A,B,C,D,E,F,G,H,I,J,K,L,M
1,1,清华大学,重启征途,13,1486,Gold,马耀华,代晨昕,蒋明润,N,N,+1(212),+1(99),+1(188),+1(30),+1(12),+1(137),+1(19),+2(77),+1(86),+1(54),+1(157),+1(251),+1(140)
2,2,北京大学,逆十字,13,1506,Gold,孔朝哲,周雨扬,潘骏跃,N,N,+4(247),+1(69),+1(192),+1(24),+1(11),+5(290),+1(16),+3(96),+1(21),+2(48),+1(57),+1(136),+1(92)
3,,清华大学,小万邦,12,1594,Gold,王思齐,袁方舟,房励行,N,N,-1,+1(107),+1(192),+2(33),+1(9),+3(231),+1(57),+2(130),+1(110),+1(156),+1(81),+2(274),+3(69)
4,,北京大学,《上个大学这么多事呢》,10,1044,Gold,林立,吴永彤,钟俊权,N,N,,+2(59),+1(130),+1(26),+1(8),,+1(15),+3(205),+1(88),+2(75),+1(208),,+1(145)
5,3,南京大学,Unreal Eventide,10,1127,Gold,丁天行,单启程,欧丰宁,N,N,,+2(208),+2(284),+2(13),+1(6),,+1(54),+1(123),+1(36),+1(46),+1(129),-11,+2(143)
6,4,杭州电子科技大学,杭电2队,10,1133,Gold,戴志炜,尹吴潇,赵政和,N,N,,+1(165),+3(253),+1(11),+1(7),,+1(19),+1(103),+1(44),+2(185),+1(207),,+2(55)
7,5,暨南大学,追光者,10,1205,Gold,麦骏,文荫华,温键伟,N,N,,+1(217),+2(253),+1(13),+1(6),,+1(24),+1(68),+1(47),+2(177),+1(186),,+2(149)
8,6,清华大学,方形责任,10,1295,Gold,杨乾澜,杨懋龙,张一钊,N,N,,+1(159),+1(276),+1(17),+1(5),-1,+1(28),+1(168),+1(38),+1(105),+1(208),,+3(247)
9,7,浙江大学,幽灵乐团,10,1320,Gold,唐嘉辰,黎伟诺,李昌栋,N,N,,+2(292),+1(218),+1(12),+1(5),-2,+2(34),+1(140),+1(50),+2(116),+4(254),,+2(55)
10,,郑州大学,西海为期,10,1321,Gold,苏同,张四维,刘世纪,N,N,,+1(234),+1(287),+1(19),+1(7),-1,+1(28),+1(67),+1(47),+1(137),+3(204),,+5(168)
11,,北京大学,找不到该队,10,1326,Gold,余快,戴傅聪,陈奇之,N,N,,+1(264),+1(121),+2(49),+1(7),,+1(35),+2(89),+1(75),+2(240),+1(142),,+2(219)
12,8,中山大学,中山大学_无人之境,9,997,Gold,谢立辉,邝启鹏,邓明昱,N,N,,+2(145),,+2(30),+1(11),,+1(8),+1(206),+1(41),+2(73),+2(263),,+2(116)
13,9,上海交通大学,未至之境,9,1006,Gold,钟林昊,罗成元,方家昊,N,N,,+1(167),,+2(8),+1(2),-3,+1(18),+2(144),+2(60),+2(105),+2(292),,+1(104)
14,,北京大学,淹园外被鸽的鸽子,9,1051,Gold,吴清月,胡晋侨,袁傲慕飞,N,N,,+1(211),-2,+1(31),+1(15),,+3(22),+1(81),+1(48),+3(138),+1(224),,+2(177)
15,10,武汉大学,删点引猹,9,1075,Gold,侯哲,冯烨聪,蔡玉聪,N,N,,+1(129),-1,+3(54),+1(7),,+1(39),+1(100),+1(68),+1(197),+1(257),,+2(159)
16,11,清华大学,[动画表情][动画表情][动画表情],9,1117,Gold,袁无为,曹天佑,魏精,N,N,-3,+2(157),+1(277),+2(24),+1(32),-4,+1(12),+1(205),+1(46),+1(268),-1,,+1(51)
17,,香港大學,穷哥们琪琪,9,1135,Gold,王安哲,宋骏凯,黄茂典,N,N,,+1(166),,+2(36),+1(5),,+1(27),+2(114),+1(50),+2(117),+6(231),,+2(205)
18,,上海交通大学,芒鞋胜码,9,1282,Gold,陈则佳,江若泓,彭泉泉,N,N,,+1(226),-1,+1(12),+1(5),,+1(29),+1(96),+1(50),+3(197),+3(232),,+5(273)
19,,香港大學,今天必须取个队名,9,1297,Gold,吕治衡,刘柏成,杨明天,N,N,,+1(130),-1,+5(78),+1(10),,+2(54),+1(166),+1(74),+2(222),+2(248),,+1(170)
20,12,浙江工业大学,地球猫猫,8,696,Gold,张宇翔,李亚伦,陈洁怡,N,N,,,,+1(23),+1(10),,+1(38),+1(155),+1(57),+1(118),+1(199),,+1(93)
21,13,南方科技大学,南方科技大学-马德里,8,821,Gold,董廷臻,周珈伊,陈浩然,N,N,,+1(282),-1,+1(12),+1(5),,+1(17),+2(109),+1(37),+2(240),-4,,+1(76)
22,14,东南大学,猛犸不上ban,8,842,Gold,郑祎凡,潘景瑞,戚雨林,N,N,,+4(262),,+1(7),+1(11),,+2(32),+1(156),+1(58),-12,+1(105),,+4(67)
