Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
30,19,国防科技大学,自然选择号,6,630,-,+1(11),-,-,+1(32),+1(59),-,-,-13,+3(235),+1(79),+2(154),-,33%,Silver,王子恒,亢世嘉,吴佳英,尹良泽,N,N
31,20,同济大学,长日将尽,6,632,-,+2(33),-,-5,+1(20),+1(79),-,-,-8,+4(216),+1(68),+2(116),-,45%,Silver,姜梓恒,储德明,朱泽凯,叶晨,N,N
32,,中山大学,中山大学_懂又不懂,6,637,-,+1(10),-,-,+2(42),+1(64),-,-,+6(232),-6,+1(41),+2(108),-,53%,Silver,陈景泰,吴永聪,薛炜鹏,张子臻,N,N
33,21,华侨大学,红日初升,6,651,-,+1(29),-,-,+2(45),+1(108),-,-,-2,+1(192),+2(92),+1(145),-,25%,Silver,赵雨扬,苏明强,危露平,罗伟,N,N
34,,北京理工大学,内核恐慌,6,665,-,+1(19),-,-,+1(30),+1(69),-,-,-3,+1(214),+3(134),+1(159),-,25%,Silver,张书豪,陈驭祺,徐宇飞,付莹,N,N
35,22,中南大学,明日之风的三重奏,6,670,-,+1(15),-,-,+1(42),+1(96),-,-,-3,+2(201),+3(100),+1(156),-,33%,Silver,赵伯阳,徐国琛,李玄靖,陈再良,N,N
36,,杭州电子科技大学,对称起源,6,696,-,+2(21),-,-3,+2(37),+1(62),-,-,-,+1(230),+2(91),+1(195),-,33%,Silver,马文浩,和卓锟,Huang Guangsheng,刘春英,N,N
37,23,华中科技大学,小鲤鱼历险记,6,708,-,+1(16),-,-,+1(39),+1(83),-,-,-3,+2(189),+2(159),+2(162),-,33%,Silver,李根,俞仲遥,喻珈,何琨,N,N
38,24,香港中文大学（深圳）,CUHK-SZ: (TBD),6,728,-,+2(22),-,-,+1(60),+1(75),-,-,-,+1(239),+2(149),+2(123),-,33%,Silver,陈翰飞,曾子荣,何润元,方一向,N,N
39,25,吉林大学,Nan上加Nan,6,740,-,+1(40),-2,-,+1(39),+1(69),-,-,-,+3(237),+2(137),+1(158),-,33%,Silver,周宇恒,方涵斌,李祯浩,刘淼,N,N
40,26,长沙理工大学,干饭第一名,6,741,-,+1(19),-,-,+1(37),+1(82),-,-,-,+5(222),+1(109),+1(192),-,40%,Silver,刘振林,周臻,杨韬,邓泽林,N,N
41,27,南开大学,强基计划我爱你,6,764,-,+1(26),-,-,+1(39),+1(64),-,-,-7,+4(285),+2(92),+1(178),-,40%,Silver,郭军凯,赵思远,车昱辉,刘晓光,N,N
42,,香港中文大学（深圳）,萨米基纳,6,766,-,+1(23),-,-,+1(46),+1(96),-,-,-3,+3(283),+1(88),+3(150),-,40%,Silver,蒋一歌,孙悠然,郭青硕,方一向,N,N
43,28,武汉大学,樱大轻音部,6,773,-,+1(42),-,-,+1(106),+3(82),-,-,-,+2(214),+1(139),+3(90),-,45%,Silver,吴飞洋,刘锡锐,徐嘉浩,董文永,N,N
44,29,北京建筑大学,星之终途,6,799,-,+1(17),-,-,+4(46),+1(96),-,-,-,+1(262),+1(78),+2(220),-,40%,Silver,王家晟,齐思恺,朱智睿,钱丽萍,N,N
45,30,厦门大学,点分治分点,6,801,-,+2(30),-,-,+1(23),+1(157),-,-,-,+3(205),+3(57),+3(189),-,53%,Silver,周正,邹品聪,徐铭逸,林文水,N,N
46,31,河海大学,几何杀手,6,811,-,+1(27),-,-,+1(101),+1(65),-,-,-,+2(283),+1(141),+1(174),-,14%,Silver,俞天骋,王英吉,蔡松廷,陈慧萍,N,N
47,32,香港城市大学,导师叫我们来打比赛,6,827,-,+1(18),-,-,+1(42),+1(95),-,-,-,+2(262),+4(144),+1(186),-,40%,Silver,高义雄,余喆涵,闫方昭,李闽溟,N,N
48,,电子科技大学,UESTC_十夏花火,6,832,-,+1(7),-,-,+1(70),+1(131),-,-,-,+4(268),+2(113),+1(163),-,40%,Silver,朱子涵,山佩永,吴立俊,汪小平,N,N
