Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
1,1,北京大学,摆烂人,11,1231,-,+1(8),+1(123),+3(70),+1(66),+1(193),+4(117),+1(133),-,+2(48),+1(268),+1(25),+1(56),35%,Gold,钱易,彭博,冯施源,张勤健,N,N
2,2,浙江大学,nameless story,9,1041,-,+2(15),-,+1(182),+3(173),+4(283),+1(39),+1(84),-,+1(58),-,+2(12),+1(51),43%,Gold,凌子恒,胡家齐,林响烨,王灿,N,N
3,3,北京理工大学,ddl战神,8,1059,-,+3(35),+1(230),+2(146),-5,-,+3(110),+3(268),-,+1(50),-,+1(31),+1(45),46%,Gold,林恺,朱子林,邹知秋,林永钢,N,N
4,4,清华大学,前尘往事，莫再提起,7,835,-,+2(23),+1(208),-,-1,+1(289),+2(72),-,-,+1(153),-,+1(13),+1(33),22%,Gold,陈亮舟,秦兆阳,任世鑫,邬晓钧,N,N
5,5,湖南大学,传说之下,7,874,-,+1(30),-,+3(279),+1(97),-,+2(141),-2,-,+1(158),-,+1(36),+2(49),36%,Gold,廖曙康,朱名扬,鲁诗雨,吴昊,N,N
6,6,吉林大学,Nan 上加 Nan,7,958,-,+1(16),-,+1(290),+1(213),-,+2(201),-1,-,+2(104),-4,+1(51),+1(40),22%,Gold,方涵斌,李祯浩,周宇恒,刘淼,N,N
7,7,苏州大学,金闪闪,7,977,-,+2(21),-,+2(265),-,-,+2(111),+2(274),-,+1(137),-,+1(32),+1(54),36%,Gold,周进一,韩则进,肖锦嗣,朱晓旭,N,N
8,8,四川大学,刀削面的疲倦,7,1086,-,+4(43),+2(167),+4(298),-,-,+5(155),-,-,+1(20),-,+1(92),+2(68),63%,Gold,邓雍,杨欣渝,程渝峰,左劼,N,N
9,9,南开大学,强基计划我爱你,7,1106,-,+3(30),-,-,+5(199),-,+3(229),+3(264),-,+2(84),-,+1(47),+1(32),61%,Gold,郭军凯,赵思远,车昱辉,刘晓光,N,N
10,10,北京邮电大学,三只蒟蒻,7,1116,-,+2(19),-,+9(245),+7(291),-1,+3(121),-6,-,+1(48),-,+1(36),+1(13),70%,Gold,王佳禾,鲍睿钊,区庆亮,杨亚,N,N
11,11,东南大学,不休独舞,6,553,-,+1(22),-,-1,+1(202),-,+1(111),-,-,+1(84),-,+1(30),+3(63),25%,Gold,戚雨林,张皓,王希陶,倪庆剑,N,N
12,12,杭州电子科技大学,2023杭电1队,6,620,-,+1(26),-,-13,-,-1,+3(101),+1(226),-,+1(156),-,+1(10),+1(59),25%,Gold,潘思成,姜正,陈载元,徐恩友,N,N
